"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","37","sex:STBHUCCB_19810","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_19810",NA,"rn:R04951",NA,592,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry8","38","sex:STBHUCCB_41990","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_41990",NA,"rn:R03916",NA,489,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry9","39","sex:STBHUCCB_13110","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_13110",NA,"rn:R00274",NA,217,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry14","49","sex:STBHUCCB_10620","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_10620",NA,"rn:R02736",NA,217,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry16","51","sex:STBHUCCB_17880","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_17880",NA,"rn:R00267",NA,169,490,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry17","52","sex:STBHUCCB_31740","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_31740",NA,"rn:R00497",NA,458,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry18","53","sex:STBHUCCB_24200 / sex:STBHUCCB_28630","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_24200+sex:STBHUCCB_28630",NA,"rn:R00894",NA,542,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry19","54","sex:STBHUCCB_41990","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_41990",NA,"rn:R00494",NA,332,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry20","55","sex:STBHUCCB_19810","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_19810",NA,"rn:R00899",NA,357,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry21","56","sex:STBHUCCB_22870 / sex:STBHUCCB_22880 / sex:STBHUCCB_22890","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_22870+sex:STBHUCCB_22880+sex:STBHUCCB_22890",NA,"rn:R00251",NA,374,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry23","58","sex:STBHUCCB_41990","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_41990",NA,"rn:R01262",NA,195,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry26","61","sex:STBHUCCB_14060 / sex:STBHUCCB_21490 / sex:STBHUCCB_44150 / sex:STBHUCCB_5550","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_14060+sex:STBHUCCB_21490+sex:STBHUCCB_44150+sex:STBHUCCB_5550",NA,"rn:R03522",NA,388,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry27","62","sex:STBHUCCB_32280","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_32280",NA,"rn:R01917",NA,417,674,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry28","63","sex:STBHUCCB_32280","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_32280",NA,"rn:R01918",NA,417,592,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry50","95","sex:STBHUCCB_41390","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_41390",NA,"rn:R00115",NA,169,458,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry71","145","sex:STBHUCCB_8440","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_8440",NA,"rn:R01528",NA,169,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry72","146","sex:STBHUCCB_23010 / sex:STBHUCCB_23020 / sex:STBHUCCB_23030","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_23010+sex:STBHUCCB_23020+sex:STBHUCCB_23030",NA,"rn:R00670",NA,208,683,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry73","147","sex:STBHUCCB_1910","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_1910",NA,"rn:R01920",NA,290,643,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry81","155","sex:STBHUCCB_1910","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_1910",NA,"rn:R08359",NA,237,921,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry94","171","sex:STBHUCCB_47680","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_47680",NA,"rn:R00899",NA,307,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry95","172","sex:STBHUCCB_47680","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_47680",NA,"rn:R04951",NA,592,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry96","173","sex:STBHUCCB_3450","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_3450",NA,"rn:R00899",NA,307,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry97","174","sex:STBHUCCB_3450","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_3450",NA,"rn:R04951",NA,640,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry98","175","sex:STBHUCCB_26860","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_26860",NA,"rn:R00899",NA,307,361,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
"entry99","176","sex:STBHUCCB_26860","gene","http://www.kegg.jp/dbget-bin/www_bget?sex:STBHUCCB_26860",NA,"rn:R04951",NA,688,536,"rectangle",46,17,"#000000","#BFFFBF",1,"00480"
