"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","82","sasa:106577614","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106577614",NA,"rn:R02887",NA,264,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry2","83","sasa:106577614","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106577614",NA,"rn:R00306",NA,192,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry3","84","sasa:106564733 / sasa:106568009 / sasa:106580495 / sasa:106585103 / sasa:106587516 / sasa:106589825 / sasa:106612430 / sasa:106612435","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106564733+sasa:106568009+sasa:106580495+sasa:106585103+sasa:106587516+sasa:106589825+sasa:106612430+sasa:106612435",NA,"rn:R00760",NA,38,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","sasa:106564132 / sasa:106588841 / sasa:106593024 / sasa:106595381 / sasa:106601771 / sasa:106613210","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106564132+sasa:106588841+sasa:106593024+sasa:106595381+sasa:106601771+sasa:106613210",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry11","93","sasa:106577614","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106577614",NA,"rn:R03527",NA,265,424,"rectangle",47,18,"#000000","#BFFFBF",1,"00500"
"entry20","104","sasa:100380852 / sasa:106571209 / sasa:106588363","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100380852+sasa:106571209+sasa:106588363",NA,"rn:R00287",NA,668,376,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry22","109","sasa:106612444","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106612444",NA,"rn:R01660",NA,693,700,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","sasa:100195257 / sasa:106585850 / sasa:106595143","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100195257+sasa:106585850+sasa:106595143",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry25","112","sasa:100194801 / sasa:106566433 / sasa:106575201 / sasa:106575442 / sasa:106579759 / sasa:106591034 / sasa:106601949 / sasa:106601986 / sasa:106606415","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100194801+sasa:106566433+sasa:106575201+sasa:106575442+sasa:106579759+sasa:106591034+sasa:106601949+sasa:106601986+sasa:106606415",NA,"rn:R00292",NA,835,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","sasa:100194572 / sasa:106560477 / sasa:106568718 / sasa:106594108 / sasa:106594399 / sasa:106595213 / sasa:106598733 / sasa:106599190","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100194572+sasa:106560477+sasa:106568718+sasa:106594108+sasa:106594399+sasa:106595213+sasa:106598733+sasa:106599190",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry29","116","sasa:106579337 / sasa:106586204 / sasa:106589305 / sasa:106589306 / sasa:106589637 / sasa:106601296 / sasa:106607196","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106579337+sasa:106586204+sasa:106589305+sasa:106589306+sasa:106589637+sasa:106601296+sasa:106607196",NA,"rn:R00303",NA,486,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry30","117","sasa:106564733 / sasa:106568009 / sasa:106580495 / sasa:106585103 / sasa:106587516 / sasa:106589825 / sasa:106612430 / sasa:106612435","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106564733+sasa:106568009+sasa:106580495+sasa:106585103+sasa:106587516+sasa:106589825+sasa:106612430+sasa:106612435",NA,"rn:R00299",NA,486,735,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","sasa:106580581 / sasa:106585167","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106580581+sasa:106585167",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","sasa:100196524 / sasa:106562377 / sasa:106587569","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100196524+sasa:106562377+sasa:106587569",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry33","120","sasa:106563933 / sasa:106563934 / sasa:106581536 / sasa:106581537","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106563933+sasa:106563934+sasa:106581536+sasa:106581537",NA,"rn:R02110",NA,916,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry36","123","sasa:106613396 / sasa:106613397","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106613396+sasa:106613397",NA,"rn:R00010",NA,1088,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry43","130","sasa:100136478 / sasa:106578483","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100136478+sasa:106578483",NA,"rn:R11262",NA,1038,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry44","131","sasa:106613210","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106613210",NA,"rn:R01790",NA,1038,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry45","132","sasa:106564132 / sasa:106588841 / sasa:106593024 / sasa:106595381 / sasa:106601771 / sasa:106613210","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106564132+sasa:106588841+sasa:106593024+sasa:106595381+sasa:106601771+sasa:106613210",NA,"rn:R00028",NA,1167,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry46","133","sasa:100194564 / sasa:100380295 / sasa:106563660 / sasa:106568905 / sasa:106577533 / sasa:106578509 / sasa:106599117 / sasa:106603056 / sasa:106604778 / sasa:106608595 / sasa:106611459","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100194564+sasa:100380295+sasa:106563660+sasa:106568905+sasa:106577533+sasa:106578509+sasa:106599117+sasa:106603056+sasa:106604778+sasa:106608595+sasa:106611459",NA,"rn:R02111",NA,801,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry58","145","sasa:106613210","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:106613210",NA,"rn:R01791",NA,1088,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry135","238","sasa:100136478 / sasa:106578483","gene","http://www.kegg.jp/dbget-bin/www_bget?sasa:100136478+sasa:106578483",NA,"rn:R02112",NA,1038,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
