"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","82","aes:C2U30_03620 / aes:C2U30_20195","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_03620+aes:C2U30_20195",NA,"rn:R02887",NA,264,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry2","83","aes:C2U30_03620 / aes:C2U30_20195","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_03620+aes:C2U30_20195",NA,"rn:R00306",NA,192,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry6","87","aes:C2U30_21690","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_21690",NA,"rn:R03921",NA,139,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry7","88","aes:C2U30_21680","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_21680",NA,"rn:R00760",NA,88,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","aes:C2U30_13280","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_13280",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry9","91","aes:C2U30_21690","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_21690",NA,"rn:R00801",NA,264,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry11","93","aes:C2U30_03620 / aes:C2U30_20195","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_03620+aes:C2U30_20195",NA,"rn:R03527",NA,265,424,"rectangle",47,18,"#000000","#BFFFBF",1,"00500"
"entry13","95","aes:C2U30_20190","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_20190",NA,"rn:R11307",NA,373,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry15","98","aes:C2U30_21685","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_21685",NA,"rn:R00811",NA,264,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry18","102","aes:C2U30_18160","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_18160",NA,"rn:R02889",NA,512,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","aes:C2U30_10005","gene","http://www.kegg.jp/dbget-bin/www_bget?aes:C2U30_10005",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
