"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry6","87","lec:LGMK_03085","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03085",NA,"rn:R03921",NA,139,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry7","88","lec:LGMK_03080 / lec:LGMK_06655","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03080+lec:LGMK_06655",NA,"rn:R00760",NA,88,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry9","91","lec:LGMK_03085","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03085",NA,"rn:R00801",NA,264,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry15","98","lec:LGMK_03090","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03090",NA,"rn:R00811",NA,264,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry18","102","lec:LGMK_04845","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_04845",NA,"rn:R02889",NA,512,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","lec:LGMK_03780","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03780",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","lec:LGMK_03760","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03760",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","lec:LGMK_03205","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03205",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","lec:LGMK_07440","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_07440",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry39","126","lec:LGMK_07790","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_07790",NA,"rn:R11310",NA,1106,192,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry54","141","lec:LGMK_06185","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_06185",NA,"rn:R11311",NA,330,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry55","142","lec:LGMK_03765","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_03765",NA,"rn:R00803",NA,511,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry57","144","lec:LGMK_01315 / lec:LGMK_01325 / lec:LGMK_01895 / lec:LGMK_02410 / lec:LGMK_04975","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_01315+lec:LGMK_01325+lec:LGMK_01895+lec:LGMK_02410+lec:LGMK_04975",NA,"rn:R01791",NA,1138,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry59","146","lec:LGMK_01315 / lec:LGMK_01325 / lec:LGMK_01895 / lec:LGMK_02410 / lec:LGMK_04975","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_01315+lec:LGMK_01325+lec:LGMK_01895+lec:LGMK_02410+lec:LGMK_04975",NA,"rn:R01718",NA,1114,622,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry60","147","lec:LGMK_07805","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_07805",NA,"rn:R02780",NA,926,113,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry61","148","lec:LGMK_07805","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_07805",NA,"rn:R04111",NA,1288,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry129","232","lec:LGMK_04005 / lec:LGMK_08585","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_04005+lec:LGMK_08585",NA,"rn:R00839",NA,104,676,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry130","233","lec:LGMK_00655 / lec:LGMK_03730 / lec:LGMK_03980 / lec:LGMK_03990 / lec:LGMK_04000","gene","http://www.kegg.jp/dbget-bin/www_bget?lec:LGMK_00655+lec:LGMK_03730+lec:LGMK_03980+lec:LGMK_03990+lec:LGMK_04000",NA,"rn:R11172",NA,157,700,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
