"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","82","hhl:Halha_0257 / hhl:Halha_0267","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0257+hhl:Halha_0267",NA,"rn:R02887",NA,264,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry2","83","hhl:Halha_0257 / hhl:Halha_0267","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0257+hhl:Halha_0267",NA,"rn:R00306",NA,192,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry4","85","hhl:Halha_2533","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_2533",NA,"rn:R00837",NA,1088,67,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry6","87","hhl:Halha_0835","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0835",NA,"rn:R03921",NA,139,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry7","88","hhl:Halha_0832 / hhl:Halha_1827","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0832+hhl:Halha_1827",NA,"rn:R00760",NA,88,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","hhl:Halha_1433","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_1433",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry9","91","hhl:Halha_0835","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0835",NA,"rn:R00801",NA,264,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry11","93","hhl:Halha_0257 / hhl:Halha_0267","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0257+hhl:Halha_0267",NA,"rn:R03527",NA,265,424,"rectangle",47,18,"#000000","#BFFFBF",1,"00500"
"entry15","98","hhl:Halha_0834","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_0834",NA,"rn:R00811",NA,264,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry19","103","hhl:Halha_1826","gene","http://www.kegg.jp/dbget-bin/www_bget?hhl:Halha_1826",NA,"rn:R00766",NA,575,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
