"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","90","cdiv:CPM_1301 / cdiv:CPM_1613 / cdiv:CPM_1637","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1301+cdiv:CPM_1613+cdiv:CPM_1637",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","cdiv:CPM_0370","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0370",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","cdiv:CPM_0583","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0583",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","cdiv:CPM_0635","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0635",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry33","120","cdiv:CPM_1882","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1882",NA,"rn:R02110",NA,916,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry34","121","cdiv:CPM_1525","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1525",NA,"rn:R02778",NA,926,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry35","122","cdiv:CPM_1614","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1614",NA,"rn:R03122",NA,940,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry43","130","cdiv:CPM_1880","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1880",NA,"rn:R11262",NA,1038,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry44","131","cdiv:CPM_0471","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0471",NA,"rn:R01790",NA,1038,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry45","132","cdiv:CPM_1301 / cdiv:CPM_1613 / cdiv:CPM_1637","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1301+cdiv:CPM_1613+cdiv:CPM_1637",NA,"rn:R00028",NA,1167,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry58","145","cdiv:CPM_0471","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0471",NA,"rn:R01791",NA,1088,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry62","149","cdiv:CPM_1880","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1880",NA,"rn:R01557",NA,1088,314,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry105","194","cdiv:CPM_1881","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1881",NA,"rn:R09994",NA,860,634,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry110","200","cdiv:CPM_1614","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1614",NA,"rn:R02112",NA,1038,514,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry111","203","cdiv:CPM_0178","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0178",NA,"rn:R11261",NA,983,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry113","205","cdiv:CPM_0719","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0719",NA,"rn:R11256",NA,983,225,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry114","206","cdiv:CPM_0718","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_0718",NA,"rn:R01824",NA,983,314,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry116","208","cdiv:CPM_1614","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1614",NA,"rn:R11262",NA,1038,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry135","238","cdiv:CPM_1880","gene","http://www.kegg.jp/dbget-bin/www_bget?cdiv:CPM_1880",NA,"rn:R02112",NA,1038,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
