"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","84","lav:100660114 / lav:100661681 / lav:100669094 / lav:100677445","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100660114+lav:100661681+lav:100669094+lav:100677445",NA,"rn:R00760",NA,38,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","lav:100659459 / lav:100661007 / lav:100661293 / lav:100675693","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100659459+lav:100661007+lav:100661293+lav:100675693",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry10","92","lav:100666668","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100666668",NA,"rn:R00801",NA,264,248,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry20","104","lav:100671424 / lav:100675424","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100671424+lav:100675424",NA,"rn:R00287",NA,668,376,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry22","109","lav:100668012","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100668012",NA,"rn:R01660",NA,693,700,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","lav:100659640","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100659640",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry25","112","lav:100655607 / lav:100658178 / lav:100659799 / lav:100674831","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100655607+lav:100658178+lav:100659799+lav:100674831",NA,"rn:R00292",NA,835,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","lav:100667216 / lav:100671091","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100667216+lav:100671091",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry29","116","lav:100657260 / lav:100670402 / lav:100676625","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100657260+lav:100670402+lav:100676625",NA,"rn:R00303",NA,486,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry30","117","lav:100660114 / lav:100661681 / lav:100669094 / lav:100677445","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100660114+lav:100661681+lav:100669094+lav:100677445",NA,"rn:R00299",NA,486,735,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","lav:100658238","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100658238",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","lav:100655186","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100655186",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry33","120","lav:100660676","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100660676",NA,"rn:R02110",NA,916,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry36","123","lav:100656149","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100656149",NA,"rn:R00010",NA,1088,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry43","130","lav:100661620 / lav:100661902","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100661620+lav:100661902",NA,"rn:R11262",NA,1038,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry44","131","lav:100661007 / lav:100661293","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100661007+lav:100661293",NA,"rn:R01790",NA,1038,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry45","132","lav:100659459 / lav:100661007 / lav:100661293 / lav:100675693","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100659459+lav:100661007+lav:100661293+lav:100675693",NA,"rn:R00028",NA,1167,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry46","133","lav:100659336 / lav:100661005 / lav:100661899 / lav:100670338","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100659336+lav:100661005+lav:100661899+lav:100670338",NA,"rn:R02111",NA,801,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry57","144","lav:100666668","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100666668",NA,"rn:R01791",NA,1138,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry58","145","lav:100661007 / lav:100661293","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100661007+lav:100661293",NA,"rn:R01791",NA,1088,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry59","146","lav:100666668","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100666668",NA,"rn:R01718",NA,1114,622,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry135","238","lav:100661620 / lav:100661902","gene","http://www.kegg.jp/dbget-bin/www_bget?lav:100661620+lav:100661902",NA,"rn:R02112",NA,1038,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
