"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","82","kpt:VK055_4275 / kpt:VK055_4954","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_4275+kpt:VK055_4954",NA,"rn:R02887",NA,264,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry2","83","kpt:VK055_4275 / kpt:VK055_4954","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_4275+kpt:VK055_4954",NA,"rn:R00306",NA,192,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry4","85","kpt:VK055_0800 / kpt:VK055_3380","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0800+kpt:VK055_3380",NA,"rn:R00837",NA,1088,67,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry6","87","kpt:VK055_2036 / kpt:VK055_4263","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2036+kpt:VK055_4263",NA,"rn:R03921",NA,139,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry7","88","kpt:VK055_2033 / kpt:VK055_2219 / kpt:VK055_4438","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2033+kpt:VK055_2219+kpt:VK055_4438",NA,"rn:R00760",NA,88,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","kpt:VK055_1675 / kpt:VK055_2210","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_1675+kpt:VK055_2210",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry9","91","kpt:VK055_2036 / kpt:VK055_4263","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2036+kpt:VK055_4263",NA,"rn:R00801",NA,264,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry11","93","kpt:VK055_4275 / kpt:VK055_4954","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_4275+kpt:VK055_4954",NA,"rn:R03527",NA,265,424,"rectangle",47,18,"#000000","#BFFFBF",1,"00500"
"entry15","98","kpt:VK055_2035","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2035",NA,"rn:R00811",NA,264,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry18","102","kpt:VK055_1118 / kpt:VK055_3576 / kpt:VK055_3586","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_1118+kpt:VK055_3576+kpt:VK055_3586",NA,"rn:R02889",NA,512,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","kpt:VK055_0250 / kpt:VK055_5012","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0250+kpt:VK055_5012",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry24","111","kpt:VK055_0055","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0055",NA,"rn:R02737",NA,801,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry26","113","kpt:VK055_3675","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_3675",NA,"rn:R00948",NA,694,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","kpt:VK055_1820","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_1820",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","kpt:VK055_4774","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_4774",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","kpt:VK055_3061","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_3061",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry33","120","kpt:VK055_3673","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_3673",NA,"rn:R02110",NA,916,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry34","121","kpt:VK055_0054","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0054",NA,"rn:R02778",NA,926,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry36","123","kpt:VK055_0149 / kpt:VK055_3601","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0149+kpt:VK055_3601",NA,"rn:R00010",NA,1088,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry38","125","kpt:VK055_2813","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2813",NA,"rn:R00837",NA,1088,88,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry40","127","kpt:VK055_0800 / kpt:VK055_3380","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0800+kpt:VK055_3380",NA,"rn:R00838",NA,1247,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry43","130","kpt:VK055_0025 / kpt:VK055_0648 / kpt:VK055_3534","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0025+kpt:VK055_0648+kpt:VK055_3534",NA,"rn:R11262",NA,1038,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry45","132","kpt:VK055_1675 / kpt:VK055_2210","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_1675+kpt:VK055_2210",NA,"rn:R00028",NA,1167,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry46","133","kpt:VK055_1483 / kpt:VK055_2405 / kpt:VK055_3674 / kpt:VK055_3677 / kpt:VK055_3684 / kpt:VK055_3685","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_1483+kpt:VK055_2405+kpt:VK055_3674+kpt:VK055_3677+kpt:VK055_3684+kpt:VK055_3685",NA,"rn:R02111",NA,801,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry47","134","kpt:VK055_3685","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_3685",NA,"rn:R05196",NA,1195,534,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry50","137","kpt:VK055_3676","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_3676",NA,"rn:R02421",NA,801,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry60","147","kpt:VK055_2812 / kpt:VK055_4747","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_2812+kpt:VK055_4747",NA,"rn:R02780",NA,926,113,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry61","148","kpt:VK055_0799 / kpt:VK055_0994 / kpt:VK055_0995 / kpt:VK055_3379 / kpt:VK055_3452 / kpt:VK055_4747","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0799+kpt:VK055_0994+kpt:VK055_0995+kpt:VK055_3379+kpt:VK055_3452+kpt:VK055_4747",NA,"rn:R04111",NA,1288,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry62","149","kpt:VK055_0648","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0648",NA,"rn:R01557",NA,1088,314,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry129","232","kpt:VK055_0517 / kpt:VK055_1143 / kpt:VK055_1223 / kpt:VK055_1680 / kpt:VK055_2815 / kpt:VK055_3451 / kpt:VK055_4152 / kpt:VK055_4445 / kpt:VK055_4462 / kpt:VK055_4688 / kpt:VK055_4946","gene","http://www.kegg.jp/dbget-bin/www_bget?kpt:VK055_0517+kpt:VK055_1143+kpt:VK055_1223+kpt:VK055_1680+kpt:VK055_2815+kpt:VK055_3451+kpt:VK055_4152+kpt:VK055_4445+kpt:VK055_4462+kpt:VK055_4688+kpt:VK055_4946",NA,"rn:R00839",NA,104,676,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
