"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","82","kpne:KU54_004870 / kpne:KU54_008245","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_004870+kpne:KU54_008245",NA,"rn:R02887",NA,264,486,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry2","83","kpne:KU54_004870 / kpne:KU54_008245","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_004870+kpne:KU54_008245",NA,"rn:R00306",NA,192,464,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry4","85","kpne:KU54_000105 / kpne:KU54_013135","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_000105+kpne:KU54_013135",NA,"rn:R00837",NA,1088,67,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry6","87","kpne:KU54_004810 / kpne:KU54_019820","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_004810+kpne:KU54_019820",NA,"rn:R03921",NA,139,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry7","88","kpne:KU54_005705 / kpne:KU54_019805 / kpne:KU54_021090","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_005705+kpne:KU54_019805+kpne:KU54_021090",NA,"rn:R00760",NA,88,356,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry8","90","kpne:KU54_017980 / kpne:KU54_021055","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_017980+kpne:KU54_021055",NA,"rn:R00801",NA,264,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry9","91","kpne:KU54_004810 / kpne:KU54_019820","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_004810+kpne:KU54_019820",NA,"rn:R00801",NA,264,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry11","93","kpne:KU54_004870 / kpne:KU54_008245","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_004870+kpne:KU54_008245",NA,"rn:R03527",NA,265,424,"rectangle",47,18,"#000000","#BFFFBF",1,"00500"
"entry15","98","kpne:KU54_019815","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_019815",NA,"rn:R00811",NA,264,171,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry18","102","kpne:KU54_001185","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_001185",NA,"rn:R02889",NA,512,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry23","110","kpne:KU54_008525 / kpne:KU54_010360","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_008525+kpne:KU54_010360",NA,"rn:R00289",NA,632,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry24","111","kpne:KU54_009340","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_009340",NA,"rn:R02737",NA,801,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry26","113","kpne:KU54_001640","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_001640",NA,"rn:R00948",NA,694,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry27","114","kpne:KU54_018705","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_018705",NA,"rn:R08639",NA,485,649,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry31","118","kpne:KU54_007360","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_007360",NA,"rn:R00299",NA,486,756,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry32","119","kpne:KU54_025350","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_025350",NA,"rn:R00771",NA,206,746,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry33","120","kpne:KU54_001630","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_001630",NA,"rn:R02110",NA,916,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry34","121","kpne:KU54_009335","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_009335",NA,"rn:R02778",NA,926,156,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry36","123","kpne:KU54_001265 / kpne:KU54_009820","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_001265+kpne:KU54_009820",NA,"rn:R00010",NA,1088,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry38","125","kpne:KU54_024040","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_024040",NA,"rn:R00837",NA,1088,88,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry40","127","kpne:KU54_000105 / kpne:KU54_013135","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_000105+kpne:KU54_013135",NA,"rn:R00838",NA,1247,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry43","130","kpne:KU54_000900 / kpne:KU54_009195 / kpne:KU54_012280","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_000900+kpne:KU54_009195+kpne:KU54_012280",NA,"rn:R11262",NA,1038,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
"entry45","132","kpne:KU54_017980 / kpne:KU54_021055","gene","http://www.kegg.jp/dbget-bin/www_bget?kpne:KU54_017980+kpne:KU54_021055",NA,"rn:R00028",NA,1167,434,"rectangle",46,17,"#000000","#BFFFBF",1,"00500"
