"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","22","pkz:C5L36_0A08300","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0A08300",NA,NA,NA,451,185,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry9","23","pkz:C5L36_0D00700","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0D00700",NA,NA,NA,473,256,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry10","24","pkz:C5L36_0A12490 / pkz:C5L36_0B03600 / pkz:C5L36_0B07460 / pkz:C5L36_0B09240 / pkz:C5L36_0B12310 / pkz:C5L36_0B12320 / pkz:C5L36_0B12330 / pkz:C5L36_0C02100 / pkz:C5L36_0C05490 / pkz:C5L36_0C09030 / pkz:C5L36_0D02960","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0A12490+pkz:C5L36_0B03600+pkz:C5L36_0B07460+pkz:C5L36_0B09240+pkz:C5L36_0B12310+pkz:C5L36_0B12320+pkz:C5L36_0B12330+pkz:C5L36_0C02100+pkz:C5L36_0C05490+pkz:C5L36_0C09030+pkz:C5L36_0D02960",NA,NA,NA,512,289,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry13","27","pkz:C5L36_0A12320","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0A12320",NA,NA,NA,519,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry14","28","pkz:C5L36_0C01890","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0C01890",NA,NA,NA,496,185,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry16","30","pkz:C5L36_0A08300","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0A08300",NA,NA,NA,427,248,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry17","31","pkz:C5L36_0B02277 / pkz:C5L36_0B07470 / pkz:C5L36_0B08630 / pkz:C5L36_0C02090","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0B02277+pkz:C5L36_0B07470+pkz:C5L36_0B08630+pkz:C5L36_0C02090",NA,"rn:R08599",NA,422,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry19","33","pkz:C5L36_0D01130","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0D01130",NA,NA,NA,519,256,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry20","34","pkz:C5L36_0D03790","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0D03790",NA,NA,NA,473,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry27","41","pkz:C5L36_0A08300","gene","http://www.kegg.jp/dbget-bin/www_bget?pkz:C5L36_0A08300",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00513"
