"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","22","fpu:FPSE_11809","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_11809",NA,NA,NA,451,185,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry9","23","fpu:FPSE_10465","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_10465",NA,NA,NA,473,256,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry10","24","fpu:FPSE_07751","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_07751",NA,NA,NA,512,289,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry13","27","fpu:FPSE_06334","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_06334",NA,NA,NA,519,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry15","29","fpu:FPSE_01022 / fpu:FPSE_03108 / fpu:FPSE_03954 / fpu:FPSE_04518 / fpu:FPSE_04712 / fpu:FPSE_05354 / fpu:FPSE_05369 / fpu:FPSE_05387","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_01022+fpu:FPSE_03108+fpu:FPSE_03954+fpu:FPSE_04518+fpu:FPSE_04712+fpu:FPSE_05354+fpu:FPSE_05369+fpu:FPSE_05387",NA,"rn:R12479",NA,332,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry16","30","fpu:FPSE_11809","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_11809",NA,NA,NA,427,248,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry17","31","fpu:FPSE_07960","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_07960",NA,"rn:R08599",NA,422,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry20","34","fpu:FPSE_11773","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_11773",NA,NA,NA,473,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00513"
"entry27","41","fpu:FPSE_11809","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_11809",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00513"
"entry28","42","fpu:FPSE_11809","gene","http://www.kegg.jp/dbget-bin/www_bget?fpu:FPSE_11809",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00513"
