"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","3","lgi:LOTGIDRAFT_231876","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_231876",NA,"rn:R03380",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry2","4","lgi:LOTGIDRAFT_138251","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_138251",NA,"rn:R09316",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry5","7","lgi:LOTGIDRAFT_93476","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_93476",NA,"rn:R09296",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry6","8","lgi:LOTGIDRAFT_113306","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_113306",NA,"rn:R09299",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry7","9","lgi:LOTGIDRAFT_180660 / lgi:LOTGIDRAFT_219361 / lgi:LOTGIDRAFT_225179","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_180660+lgi:LOTGIDRAFT_219361+lgi:LOTGIDRAFT_225179",NA,"rn:R09295",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry8","10","lgi:LOTGIDRAFT_113431","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_113431",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry9","11","lgi:LOTGIDRAFT_225910","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_225910",NA,"rn:R09315",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry10","12","lgi:LOTGIDRAFT_130505","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_130505",NA,"rn:R09290",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry11","13","lgi:LOTGIDRAFT_111385 / lgi:LOTGIDRAFT_116699 / lgi:LOTGIDRAFT_228161","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_111385+lgi:LOTGIDRAFT_116699+lgi:LOTGIDRAFT_228161",NA,"rn:R09304",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry16","18","lgi:LOTGIDRAFT_129702 / lgi:LOTGIDRAFT_225945","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_129702+lgi:LOTGIDRAFT_225945",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry21","23","lgi:LOTGIDRAFT_129702 / lgi:LOTGIDRAFT_225945","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_129702+lgi:LOTGIDRAFT_225945",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry24","28","lgi:LOTGIDRAFT_129702 / lgi:LOTGIDRAFT_225945","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_129702+lgi:LOTGIDRAFT_225945",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry28","33","lgi:LOTGIDRAFT_129702 / lgi:LOTGIDRAFT_225945","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_129702+lgi:LOTGIDRAFT_225945",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry39","54","lgi:LOTGIDRAFT_93476","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_93476",NA,"rn:R09296",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry40","55","lgi:LOTGIDRAFT_180660 / lgi:LOTGIDRAFT_219361 / lgi:LOTGIDRAFT_225179","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_180660+lgi:LOTGIDRAFT_219361+lgi:LOTGIDRAFT_225179",NA,"rn:R09295",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
"entry41","56","lgi:LOTGIDRAFT_130418 / lgi:LOTGIDRAFT_131924 / lgi:LOTGIDRAFT_143168 / lgi:LOTGIDRAFT_143711 / lgi:LOTGIDRAFT_170451 / lgi:LOTGIDRAFT_191447 / lgi:LOTGIDRAFT_198406 / lgi:LOTGIDRAFT_222070 / lgi:LOTGIDRAFT_66572 / lgi:LOTGIDRAFT_96000","gene","http://www.kegg.jp/dbget-bin/www_bget?lgi:LOTGIDRAFT_130418+lgi:LOTGIDRAFT_131924+lgi:LOTGIDRAFT_143168+lgi:LOTGIDRAFT_143711+lgi:LOTGIDRAFT_170451+lgi:LOTGIDRAFT_191447+lgi:LOTGIDRAFT_198406+lgi:LOTGIDRAFT_222070+lgi:LOTGIDRAFT_66572+lgi:LOTGIDRAFT_96000",NA,"rn:R05908",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00514"
