"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","20","ecb:100065936 / ecb:100066144 / ecb:100066149 / ecb:100068209","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100065936+ecb:100066144+ecb:100066149+ecb:100068209",NA,NA,NA,218,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry3","25","ecb:100059121 / ecb:100069575","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100059121+ecb:100069575",NA,"rn:R07620",NA,153,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry7","29","ecb:100052003","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100052003",NA,"rn:R07619",NA,218,259,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry8","30","ecb:100053104","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100053104",NA,NA,NA,147,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry10","32","ecb:100071000 / ecb:100072914","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100071000+ecb:100072914",NA,NA,NA,218,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry13","35","ecb:100050281","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100050281",NA,NA,NA,218,527,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry14","36","ecb:100067105 / ecb:100071396","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100067105+ecb:100071396",NA,NA,NA,289,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
"entry15","37","ecb:100053104","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100053104",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry16","38","ecb:100065936 / ecb:100066144 / ecb:100066149 / ecb:100068209","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100065936+ecb:100066144+ecb:100066149+ecb:100068209",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry17","39","ecb:100052003","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100052003",NA,"rn:R07619",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry18","40","ecb:100059121 / ecb:100069575","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100059121+ecb:100069575",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry19","41","ecb:100050281","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100050281",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry20","42","ecb:100071000 / ecb:100072914","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100071000+ecb:100072914",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry21","43","ecb:100065936 / ecb:100066144 / ecb:100066149 / ecb:100068209","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100065936+ecb:100066144+ecb:100066149+ecb:100068209",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry22","44","ecb:100059121 / ecb:100069575","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100059121+ecb:100069575",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry23","45","ecb:100052003","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100052003",NA,"rn:R07619",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry24","46","ecb:100065936 / ecb:100066144 / ecb:100066149 / ecb:100068209","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100065936+ecb:100066144+ecb:100066149+ecb:100068209",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry25","47","ecb:100067105 / ecb:100071396","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100067105+ecb:100071396",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry26","48","ecb:100052003","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100052003",NA,"rn:R07619",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry27","49","ecb:100059121 / ecb:100069575","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100059121+ecb:100069575",NA,"rn:R07620",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00515"
"entry29","51","ecb:100058438","gene","http://www.kegg.jp/dbget-bin/www_bget?ecb:100058438",NA,"rn:R07621",NA,346,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00515"
