"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","11","rsl:RPSI07_3203","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_3203",NA,"rn:R00416",NA,651,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry3","13","rsl:RPSI07_mp0439","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp0439",NA,"rn:R00414",NA,767,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry9","26","rsl:RPSI07_1569","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_1569",NA,"rn:R02060",NA,508,369,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry10","28","rsl:RPSI07_3203","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_3203",NA,"rn:R05332",NA,578,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry11","30","rsl:RPSI07_3202","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_3202",NA,"rn:R00768",NA,462,450,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry13","43","rsl:RPSI07_mp1011","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp1011",NA,"rn:R00420",NA,767,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry14","44","rsl:RPSI07_mp1010","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp1010",NA,"rn:R03317",NA,864,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry16","48","rsl:RPSI07_0545","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_0545",NA,"rn:R00660",NA,722,226,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry17","49","rsl:RPSI07_0917","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_0917",NA,"rn:R03191 rn:R03192",NA,721,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry28","73","rsl:RPSI07_2324 / rsl:RPSI07_2572","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2324+rsl:RPSI07_2572",NA,"rn:R00022",NA,231,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry29","75","rsl:RPSI07_mp0254","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp0254",NA,"rn:R02334",NA,120,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry37","87","rsl:RPSI07_mp1096","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp1096",NA,"rn:R03920",NA,361,492,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry38","89","rsl:RPSI07_mp0254","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp0254",NA,"rn:R01206",NA,120,217,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry110","194","rsl:RPSI07_mp1142","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_mp1142",NA,"rn:R00291",NA,721,1056,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry111","196","rsl:RPSI07_2471","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2471",NA,"rn:R00286",NA,721,924,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry114","201","rsl:RPSI07_2503","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2503",NA,"rn:R01819",NA,471,1056,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry115","202","rsl:RPSI07_2659","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2659",NA,"rn:R01818",NA,508,1385,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry116","204","rsl:RPSI07_2659","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2659",NA,"rn:R00959",NA,508,991,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry119","211","rsl:RPSI07_2503","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2503",NA,"rn:R00885",NA,651,1374,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry125","223","rsl:RPSI07_2046","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2046",NA,"rn:R07661",NA,1188,890,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry134","247","rsl:RPSI07_2659","gene","http://www.kegg.jp/dbget-bin/www_bget?rsl:RPSI07_2659",NA,"rn:R00959",NA,508,1536,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
