"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","11","bbev:BBEV_3326","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3326",NA,"rn:R00416",NA,651,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry7","22","bbev:BBEV_3189","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3189",NA,"rn:R00765",NA,415,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry8","24","bbev:BBEV_3188","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3188",NA,"rn:R02059",NA,412,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry9","26","bbev:BBEV_2965","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_2965",NA,"rn:R02060",NA,508,369,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry10","28","bbev:BBEV_3326","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3326",NA,"rn:R05332",NA,578,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry11","30","bbev:BBEV_2964","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_2964",NA,"rn:R00768",NA,462,450,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry13","43","bbev:BBEV_0179","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0179",NA,"rn:R00420",NA,767,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry14","44","bbev:BBEV_0291","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0291",NA,"rn:R03317",NA,864,377,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry16","48","bbev:BBEV_0162 / bbev:BBEV_0210","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0162+bbev:BBEV_0210",NA,"rn:R00660",NA,722,226,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry17","49","bbev:BBEV_1912","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1912",NA,"rn:R03191 rn:R03192",NA,721,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry20","57","bbev:BBEV_1369","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1369",NA,"rn:R08559",NA,361,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry21","59","bbev:BBEV_3177","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3177",NA,"rn:R08555",NA,435,186,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry28","73","bbev:BBEV_0365","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0365",NA,"rn:R00022",NA,231,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry37","87","bbev:BBEV_0101","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0101",NA,"rn:R03920",NA,361,492,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry109","192","bbev:BBEV_2905","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_2905",NA,"rn:R00955",NA,627,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry110","194","bbev:BBEV_0257 / bbev:BBEV_2906","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0257+bbev:BBEV_2906",NA,"rn:R00291",NA,721,1056,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry111","196","bbev:BBEV_0264","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0264",NA,"rn:R00286",NA,721,924,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry114","201","bbev:BBEV_0474","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0474",NA,"rn:R01819",NA,471,1056,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry116","204","bbev:BBEV_1038","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1038",NA,"rn:R00959",NA,508,991,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry118","208","bbev:BBEV_2907","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_2907",NA,"rn:R01092",NA,421,1114,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry119","211","bbev:BBEV_0262","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0262",NA,"rn:R00885",NA,651,1374,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry134","247","bbev:BBEV_1038","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1038",NA,"rn:R00959",NA,508,1536,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry149","282","bbev:BBEV_0682","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0682",NA,"rn:R02740",NA,435,778,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry153","291","bbev:BBEV_0263","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0263",NA,"rn:R01385",NA,780,1056,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry155","295","bbev:BBEV_0253","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0253",NA,"rn:R00289",NA,651,991,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry157","299","bbev:BBEV_1369","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1369",NA,"rn:R02738",NA,361,1506,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry159","304","bbev:BBEV_1369","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1369",NA,"rn:R02738",NA,361,940,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry162","309","bbev:BBEV_0753 / bbev:BBEV_0754","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_0753+bbev:BBEV_0754",NA,"rn:R00948",NA,651,1707,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry163","310","bbev:BBEV_1270 / bbev:BBEV_2451","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1270+bbev:BBEV_2451",NA,"rn:R01786",NA,339,1557,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry164","311","bbev:BBEV_1270 / bbev:BBEV_2451","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_1270+bbev:BBEV_2451",NA,"rn:R01786",NA,339,1012,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry169","324","bbev:BBEV_3007","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_3007",NA,"rn:R01762",NA,651,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry170","326","bbev:BBEV_2412","gene","http://www.kegg.jp/dbget-bin/www_bget?bbev:BBEV_2412",NA,"rn:R01433",NA,931,734,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
