"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","9","adl:AURDEDRAFT_109746","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_109746",NA,"rn:R08193",NA,508,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry2","11","adl:AURDEDRAFT_79457","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_79457",NA,"rn:R00416",NA,651,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry7","22","adl:AURDEDRAFT_109498","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_109498",NA,"rn:R00765",NA,415,430,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry8","24","adl:AURDEDRAFT_111586","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_111586",NA,"rn:R02059",NA,412,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry11","30","adl:AURDEDRAFT_112364 / adl:AURDEDRAFT_115201 / adl:AURDEDRAFT_137307","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_112364+adl:AURDEDRAFT_115201+adl:AURDEDRAFT_137307",NA,"rn:R00768",NA,462,450,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry12","39","adl:AURDEDRAFT_103672 / adl:AURDEDRAFT_103674 / adl:AURDEDRAFT_114095 / adl:AURDEDRAFT_114120 / adl:AURDEDRAFT_165407","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_103672+adl:AURDEDRAFT_103674+adl:AURDEDRAFT_114095+adl:AURDEDRAFT_114120+adl:AURDEDRAFT_165407",NA,"rn:R02058",NA,458,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry28","73","adl:AURDEDRAFT_112216 / adl:AURDEDRAFT_136453 / adl:AURDEDRAFT_86789 / adl:AURDEDRAFT_99775","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_112216+adl:AURDEDRAFT_136453+adl:AURDEDRAFT_86789+adl:AURDEDRAFT_99775",NA,"rn:R00022",NA,231,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry29","75","adl:AURDEDRAFT_110552 / adl:AURDEDRAFT_111232 / adl:AURDEDRAFT_112443 / adl:AURDEDRAFT_113536 / adl:AURDEDRAFT_115157 / adl:AURDEDRAFT_125716 / adl:AURDEDRAFT_135266 / adl:AURDEDRAFT_158445 / adl:AURDEDRAFT_184865 / adl:AURDEDRAFT_186525 / adl:AURDEDRAFT_47714 / adl:AURDEDRAFT_49738 / adl:AURDEDRAFT_52157 / adl:AURDEDRAFT_53071 / adl:AURDEDRAFT_56704 / adl:AURDEDRAFT_57259 / adl:AURDEDRAFT_60183 / adl:AURDEDRAFT_66532 / adl:AURDEDRAFT_68844 / adl:AURDEDRAFT_85275 / adl:AURDEDRAFT_88080 / adl:AURDEDRAFT_90050","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_110552+adl:AURDEDRAFT_111232+adl:AURDEDRAFT_112443+adl:AURDEDRAFT_113536+adl:AURDEDRAFT_115157+adl:AURDEDRAFT_125716+adl:AURDEDRAFT_135266+adl:AURDEDRAFT_158445+adl:AURDEDRAFT_184865+adl:AURDEDRAFT_186525+adl:AURDEDRAFT_47714+adl:AURDEDRAFT_49738+adl:AURDEDRAFT_52157+adl:AURDEDRAFT_53071+adl:AURDEDRAFT_56704+adl:AURDEDRAFT_57259+adl:AURDEDRAFT_60183+adl:AURDEDRAFT_66532+adl:AURDEDRAFT_68844+adl:AURDEDRAFT_85275+adl:AURDEDRAFT_88080+adl:AURDEDRAFT_90050",NA,"rn:R02334",NA,120,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry30","78","adl:AURDEDRAFT_116616","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_116616",NA,"rn:R02333",NA,64,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
"entry31","80","adl:AURDEDRAFT_130380 / adl:AURDEDRAFT_74830","gene","http://www.kegg.jp/dbget-bin/www_bget?adl:AURDEDRAFT_130380+adl:AURDEDRAFT_74830",NA,"rn:R02833",NA,120,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00520"
