"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","44","lpc:LPC_1373","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_1373",NA,"rn:R03351",NA,759,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry13","45","lpc:LPC_2456","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_2456",NA,"rn:R03350",NA,851,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry14","46","lpc:LPC_1262","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_1262",NA,"rn:R04657",NA,797,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry21","53","lpc:LPC_0787 / lpc:LPC_3256","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_0787+lpc:LPC_3256",NA,"rn:R04606",NA,875,197,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry31","63","lpc:LPC_3308","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_3308",NA,"rn:R05645",NA,1030,650,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry32","64","lpc:LPC_1283","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_1283",NA,"rn:R05647",NA,851,650,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry35","67","lpc:LPC_2981 / lpc:LPC_3251 / lpc:LPC_3252","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_2981+lpc:LPC_3251+lpc:LPC_3252",NA,"rn:R05146",NA,450,289,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry37","69","lpc:LPC_1808","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_1808",NA,"rn:R05074",NA,532,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry38","70","lpc:LPC_1808","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_1808",NA,"rn:R04658",NA,662,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry40","72","lpc:LPC_0973","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_0973",NA,"rn:R04549",NA,913,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry41","73","lpc:LPC_0649","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_0649",NA,"rn:R03254",NA,942,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry42","74","lpc:LPC_0119 / lpc:LPC_2837 / lpc:LPC_3255","gene","http://www.kegg.jp/dbget-bin/www_bget?lpc:LPC_0119+lpc:LPC_2837+lpc:LPC_3255",NA,"rn:R04550",NA,797,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
