"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","44","ahl:AHTJS_08710","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_08710",NA,"rn:R03351",NA,759,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry13","45","ahl:AHTJS_05150","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_05150",NA,"rn:R03350",NA,851,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry14","46","ahl:AHTJS_08715","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_08715",NA,"rn:R04657",NA,797,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry21","53","ahl:AHTJS_07610","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_07610",NA,"rn:R04606",NA,875,197,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry35","67","ahl:AHTJS_02960 / ahl:AHTJS_04555 / ahl:AHTJS_06475 / ahl:AHTJS_14270","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_02960+ahl:AHTJS_04555+ahl:AHTJS_06475+ahl:AHTJS_14270",NA,"rn:R05146",NA,450,289,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry37","69","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R05074",NA,532,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry38","70","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R04658",NA,662,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry40","72","ahl:AHTJS_09695","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_09695",NA,"rn:R04549",NA,913,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry41","73","ahl:AHTJS_08280","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_08280",NA,"rn:R03254",NA,942,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry42","74","ahl:AHTJS_07440","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_07440",NA,"rn:R04550",NA,797,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry43","75","ahl:AHTJS_00740","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00740",NA,"rn:R04587",NA,655,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry44","76","ahl:AHTJS_07450","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_07450",NA,"rn:R04567",NA,515,136,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry56","94","ahl:AHTJS_05145","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_05145",NA,"rn:R01530",NA,1029,476,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry68","110","ahl:AHTJS_03745","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_03745",NA,"rn:R12202",NA,153,537,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry77","124","ahl:AHTJS_02960 / ahl:AHTJS_04555 / ahl:AHTJS_06475 / ahl:AHTJS_14270","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_02960+ahl:AHTJS_04555+ahl:AHTJS_06475+ahl:AHTJS_14270",NA,"rn:R12193",NA,154,289,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry86","138","ahl:AHTJS_03745","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_03745",NA,"rn:R11557",NA,287,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry91","145","ahl:AHTJS_03150 / ahl:AHTJS_14940","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_03150+ahl:AHTJS_14940",NA,"rn:R12210",NA,397,436,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry102","165","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry104","171","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R04658",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry114","181","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry129","196","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry136","203","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry153","221","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry163","231","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry173","245","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry184","257","ahl:AHTJS_00835","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_00835",NA,"rn:R06285",NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry197","270","ahl:AHTJS_03745","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_03745",NA,"rn:R11555",NA,397,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00540"
"entry203","277","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry204","278","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry205","279","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry206","280","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry207","281","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry208","282","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry209","283","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
"entry210","284","ahl:AHTJS_04195","gene","http://www.kegg.jp/dbget-bin/www_bget?ahl:AHTJS_04195",NA,NA,NA,NA,NA,"line",NA,NA,"#66CC66","#FFFFFF",0,"00540"
