"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","23","sera:Ser39006_006145","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006145",NA,"rn:R04617",NA,724,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry3","26","sera:Ser39006_007155 / sera:Ser39006_021200","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_007155+sera:Ser39006_021200",NA,"rn:R05627",NA,598,561,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry4","27","sera:Ser39006_006165","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006165",NA,"rn:R05662",NA,226,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry5","28","sera:Ser39006_006150","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006150",NA,"rn:R05629",NA,226,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry6","29","sera:Ser39006_006145","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006145",NA,"rn:R04573",NA,226,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry7","30","sera:Ser39006_006175 / sera:Ser39006_021325","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006175+sera:Ser39006_021325",NA,"rn:R01150",NA,598,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry9","32","sera:Ser39006_006155","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006155",NA,"rn:R02783",NA,476,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry10","33","sera:Ser39006_006170","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006170",NA,"rn:R03193",NA,476,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry11","34","sera:Ser39006_006140","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006140",NA,"rn:R02788",NA,724,368,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry12","35","sera:Ser39006_006150","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006150",NA,"rn:R05630",NA,724,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry13","36","sera:Ser39006_006165","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006165",NA,"rn:R05032",NA,724,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry27","58","sera:Ser39006_000440","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000440",NA,"rn:R00660",NA,476,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry28","59","sera:Ser39006_002425","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_002425",NA,"rn:R03191 rn:R03192",NA,476,174,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry50","87","sera:Ser39006_000360","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000360",NA,NA,NA,749,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry51","88","sera:Ser39006_016010 / sera:Ser39006_018390","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_016010+sera:Ser39006_018390",NA,NA,NA,200,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry55","93","sera:Ser39006_000610","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610",NA,NA,NA,200,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry56","94","sera:Ser39006_000610","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610",NA,NA,NA,471,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry57","95","sera:Ser39006_000610 / sera:Ser39006_008660","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610+sera:Ser39006_008660",NA,NA,NA,699,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry58","96","sera:Ser39006_000610","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610",NA,NA,NA,200,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry60","98","sera:Ser39006_000610","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610",NA,NA,NA,445,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry62","100","sera:Ser39006_000610 / sera:Ser39006_008660","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_000610+sera:Ser39006_008660",NA,NA,NA,699,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry63","101","sera:Ser39006_006135 / sera:Ser39006_018375","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_006135+sera:Ser39006_018375",NA,NA,NA,749,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry64","102","sera:Ser39006_016010 / sera:Ser39006_018390","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_016010+sera:Ser39006_018390",NA,NA,NA,445,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry65","103","sera:Ser39006_016010 / sera:Ser39006_018390 / sera:Ser39006_022135","gene","http://www.kegg.jp/dbget-bin/www_bget?sera:Ser39006_016010+sera:Ser39006_018390+sera:Ser39006_022135",NA,NA,NA,699,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
