"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","23","kfl:Kfla_2883","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2883",NA,"rn:R04617",NA,724,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry3","26","kfl:Kfla_3811","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_3811",NA,"rn:R05627",NA,598,561,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry4","27","kfl:Kfla_3622","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_3622",NA,"rn:R05662",NA,226,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry5","28","kfl:Kfla_2884","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2884",NA,"rn:R05629",NA,226,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry6","29","kfl:Kfla_2883","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2883",NA,"rn:R04573",NA,226,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry7","30","kfl:Kfla_0784 / kfl:Kfla_4838 / kfl:Kfla_7073","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_0784+kfl:Kfla_4838+kfl:Kfla_7073",NA,"rn:R01150",NA,598,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry9","32","kfl:Kfla_2885","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2885",NA,"rn:R02783",NA,476,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry10","33","kfl:Kfla_2887","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2887",NA,"rn:R03193",NA,476,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry11","34","kfl:Kfla_2882","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2882",NA,"rn:R02788",NA,724,368,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry12","35","kfl:Kfla_2884","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2884",NA,"rn:R05630",NA,724,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry13","36","kfl:Kfla_3622","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_3622",NA,"rn:R05032",NA,724,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry27","58","kfl:Kfla_2498 / kfl:Kfla_5039","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_2498+kfl:Kfla_5039",NA,"rn:R00660",NA,476,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry28","59","kfl:Kfla_6181","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_6181",NA,"rn:R03191 rn:R03192",NA,476,174,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry51","88","kfl:Kfla_1323","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_1323",NA,NA,NA,200,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry63","101","kfl:Kfla_0061 / kfl:Kfla_2302 / kfl:Kfla_2880","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_0061+kfl:Kfla_2302+kfl:Kfla_2880",NA,NA,NA,749,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry64","102","kfl:Kfla_1323","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_1323",NA,NA,NA,445,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry65","103","kfl:Kfla_1323 / kfl:Kfla_3047 / kfl:Kfla_6472","gene","http://www.kegg.jp/dbget-bin/www_bget?kfl:Kfla_1323+kfl:Kfla_3047+kfl:Kfla_6472",NA,NA,NA,699,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
