"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","23","bado:BBMN23_1249","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1249",NA,"rn:R04617",NA,724,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry3","26","bado:BBMN23_0956","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0956",NA,"rn:R05627",NA,598,561,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry4","27","bado:BBMN23_1245","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1245",NA,"rn:R05662",NA,226,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry5","28","bado:BBMN23_1248","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1248",NA,"rn:R05629",NA,226,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry6","29","bado:BBMN23_1249","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1249",NA,"rn:R04573",NA,226,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry7","30","bado:BBMN23_0214","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0214",NA,"rn:R01150",NA,598,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry9","32","bado:BBMN23_1247","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1247",NA,"rn:R02783",NA,476,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry10","33","bado:BBMN23_1244","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1244",NA,"rn:R03193",NA,476,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry11","34","bado:BBMN23_1230","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1230",NA,"rn:R02788",NA,724,368,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry12","35","bado:BBMN23_1248","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1248",NA,"rn:R05630",NA,724,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry13","36","bado:BBMN23_1245","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_1245",NA,"rn:R05032",NA,724,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry27","58","bado:BBMN23_0209","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0209",NA,"rn:R00660",NA,476,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry28","59","bado:BBMN23_0325","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0325",NA,"rn:R03191 rn:R03192",NA,476,174,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry63","101","bado:BBMN23_0033 / bado:BBMN23_1251","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0033+bado:BBMN23_1251",NA,NA,NA,749,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry65","103","bado:BBMN23_0438","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0438",NA,NA,NA,699,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry66","104","bado:BBMN23_0129 / bado:BBMN23_0130","gene","http://www.kegg.jp/dbget-bin/www_bget?bado:BBMN23_0129+bado:BBMN23_0130",NA,"rn:R05030",NA,226,718,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
