"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","23","abaj:BJAB0868_03446","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03446",NA,"rn:R04617",NA,724,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry3","26","abaj:BJAB0868_00033 / abaj:BJAB0868_00554 / abaj:BJAB0868_03060","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_00033+abaj:BJAB0868_00554+abaj:BJAB0868_03060",NA,"rn:R05627",NA,598,561,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry4","27","abaj:BJAB0868_03583","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03583",NA,"rn:R05662",NA,226,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry5","28","abaj:BJAB0868_03445","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03445",NA,"rn:R05629",NA,226,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry6","29","abaj:BJAB0868_03446","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03446",NA,"rn:R04573",NA,226,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry7","30","abaj:BJAB0868_03581","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03581",NA,"rn:R01150",NA,598,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry9","32","abaj:BJAB0868_00315","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_00315",NA,"rn:R02783",NA,476,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry10","33","abaj:BJAB0868_03582","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03582",NA,"rn:R03193",NA,476,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry11","34","abaj:BJAB0868_03447","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03447",NA,"rn:R02788",NA,724,368,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry12","35","abaj:BJAB0868_03445","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03445",NA,"rn:R05630",NA,724,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry13","36","abaj:BJAB0868_03583","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03583",NA,"rn:R05032",NA,724,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry27","58","abaj:BJAB0868_00686","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_00686",NA,"rn:R00660",NA,476,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry28","59","abaj:BJAB0868_02282","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_02282",NA,"rn:R03191 rn:R03192",NA,476,174,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry50","87","abaj:BJAB0868_01101","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_01101",NA,NA,NA,749,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry51","88","abaj:BJAB0868_02681 / abaj:BJAB0868_02727","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_02681+abaj:BJAB0868_02727",NA,NA,NA,200,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry55","93","abaj:BJAB0868_03442","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03442",NA,NA,NA,200,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry56","94","abaj:BJAB0868_03442","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03442",NA,NA,NA,471,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry57","95","abaj:BJAB0868_02521 / abaj:BJAB0868_03442","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_02521+abaj:BJAB0868_03442",NA,NA,NA,699,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry58","96","abaj:BJAB0868_03442","gene","http://www.kegg.jp/dbget-bin/www_bget?abaj:BJAB0868_03442",NA,NA,NA,200,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
