"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","23","aal:EP13_14475","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14475",NA,"rn:R04617",NA,724,444,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry3","26","aal:EP13_01035 / aal:EP13_03235 / aal:EP13_03460","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_01035+aal:EP13_03235+aal:EP13_03460",NA,"rn:R05627",NA,598,561,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry4","27","aal:EP13_14455","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14455",NA,"rn:R05662",NA,226,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry5","28","aal:EP13_14470","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14470",NA,"rn:R05629",NA,226,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry6","29","aal:EP13_14475","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14475",NA,"rn:R04573",NA,226,445,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry7","30","aal:EP13_14445","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14445",NA,"rn:R01150",NA,598,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry9","32","aal:EP13_14465","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14465",NA,"rn:R02783",NA,476,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry10","33","aal:EP13_14450","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14450",NA,"rn:R03193",NA,476,224,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry11","34","aal:EP13_14480","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14480",NA,"rn:R02788",NA,724,368,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry12","35","aal:EP13_14470","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14470",NA,"rn:R05630",NA,724,538,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry13","36","aal:EP13_14455","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_14455",NA,"rn:R05032",NA,724,628,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry27","58","aal:EP13_03880 / aal:EP13_08150","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_03880+aal:EP13_08150",NA,"rn:R00660",NA,476,123,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry28","59","aal:EP13_08155","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_08155",NA,"rn:R03191 rn:R03192",NA,476,174,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry51","88","aal:EP13_09125","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_09125",NA,NA,NA,200,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry55","93","aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02270",NA,NA,NA,200,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry56","94","aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02270",NA,NA,NA,471,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry57","95","aal:EP13_02060 / aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02060+aal:EP13_02270",NA,NA,NA,699,1099,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry58","96","aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02270",NA,NA,NA,200,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry60","98","aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02270",NA,NA,NA,445,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry62","100","aal:EP13_02060 / aal:EP13_02270","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_02060+aal:EP13_02270",NA,NA,NA,699,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry63","101","aal:EP13_09140 / aal:EP13_14485","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_09140+aal:EP13_14485",NA,NA,NA,749,1258,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry64","102","aal:EP13_09125","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_09125",NA,NA,NA,445,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
"entry65","103","aal:EP13_09125","gene","http://www.kegg.jp/dbget-bin/www_bget?aal:EP13_09125",NA,NA,NA,699,1300,"rectangle",46,17,"#000000","#BFFFBF",1,"00550"
