"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5","41","tco:Theco_0948","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_0948",NA,"rn:R02250",NA,636,522,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry11","47","tco:Theco_0948","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_0948",NA,"rn:R02687",NA,557,512,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry12","48","tco:Theco_1873","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_1873",NA,"rn:R02241",NA,382,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry19","55","tco:Theco_0520 / tco:Theco_1280","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_0520+tco:Theco_1280",NA,"rn:R00847",NA,405,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry29","66","tco:Theco_0425 / tco:Theco_0500 / tco:Theco_1500 / tco:Theco_1506","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_0425+tco:Theco_0500+tco:Theco_1500+tco:Theco_1506",NA,"rn:R04470",NA,404,801,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry33","73","tco:Theco_0673","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_0673",NA,"rn:R02240",NA,448,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry68","127","tco:Theco_3160","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_3160",NA,"rn:R04377",NA,404,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry72","131","tco:Theco_3160","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_3160",NA,"rn:R02689",NA,515,714,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry78","141","tco:Theco_1693","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_1693",NA,"rn:R08572",NA,294,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry80","144","tco:Theco_3630 / tco:Theco_3631","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_3630+tco:Theco_3631",NA,"rn:R01012",NA,157,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry85","152","tco:Theco_1869","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_1869",NA,"rn:R12241",NA,304,423,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry87","155","tco:Theco_2140","gene","http://www.kegg.jp/dbget-bin/www_bget?tco:Theco_2140",NA,"rn:R12240",NA,214,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
