"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","44","lke:WANG_0144","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0144",NA,"rn:R10850",NA,515,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry12","48","lke:WANG_0427","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0427",NA,"rn:R02241",NA,382,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry19","55","lke:WANG_1401","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_1401",NA,"rn:R00847",NA,405,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry29","66","lke:WANG_0188 / lke:WANG_0302","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0188+lke:WANG_0302",NA,"rn:R04470",NA,404,801,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry31","71","lke:WANG_0147 / lke:WANG_0915","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0147+lke:WANG_0915",NA,"rn:R10849",NA,297,668,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry33","73","lke:WANG_1134","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_1134",NA,"rn:R02240",NA,448,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry67","126","lke:WANG_0147 / lke:WANG_0915","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0147+lke:WANG_0915",NA,"rn:R05081",NA,297,725,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry78","141","lke:WANG_0934","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0934",NA,"rn:R08572",NA,294,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry80","144","lke:WANG_0173 / lke:WANG_0174 / lke:WANG_0175 / lke:WANG_p2040 / lke:WANG_p2041 / lke:WANG_p2042","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0173+lke:WANG_0174+lke:WANG_0175+lke:WANG_p2040+lke:WANG_p2041+lke:WANG_p2042",NA,"rn:R01012",NA,157,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry85","152","lke:WANG_0549","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0549",NA,"rn:R12241",NA,304,423,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry87","155","lke:WANG_0403","gene","http://www.kegg.jp/dbget-bin/www_bget?lke:WANG_0403",NA,"rn:R12240",NA,214,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
