"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry12","48","ebu:CUC76_19125","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_19125",NA,"rn:R02241",NA,382,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry16","52","ebu:CUC76_13945","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_13945",NA,"rn:R00851",NA,382,423,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry17","53","ebu:CUC76_18815","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_18815",NA,"rn:R01011",NA,157,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry19","55","ebu:CUC76_08425 / ebu:CUC76_16085","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_08425+ebu:CUC76_16085",NA,"rn:R00847",NA,405,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry20","56","ebu:CUC76_14915 / ebu:CUC76_18845","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_14915+ebu:CUC76_18845",NA,"rn:R01034",NA,294,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry29","66","ebu:CUC76_13545 / ebu:CUC76_15110","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_13545+ebu:CUC76_15110",NA,"rn:R04470",NA,404,801,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry33","73","ebu:CUC76_13940","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_13940",NA,"rn:R02240",NA,448,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry78","141","ebu:CUC76_09120 / ebu:CUC76_20610","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_09120+ebu:CUC76_20610",NA,"rn:R08572",NA,294,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry80","144","ebu:CUC76_18820 / ebu:CUC76_18825 / ebu:CUC76_18830","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_18820+ebu:CUC76_18825+ebu:CUC76_18830",NA,"rn:R01012",NA,157,330,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry85","152","ebu:CUC76_18980","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_18980",NA,"rn:R12241",NA,304,423,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
"entry87","155","ebu:CUC76_05790","gene","http://www.kegg.jp/dbget-bin/www_bget?ebu:CUC76_05790",NA,"rn:R12240",NA,214,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00561"
