"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","47","pmua:114592941 / pmua:114607041 / pmua:114608062","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114592941+pmua:114607041+pmua:114608062",NA,"rn:R05803",NA,558,103,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry3","49","pmua:114588931 / pmua:114588964 / pmua:114594290 / pmua:114596042 / pmua:114601753","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114588931+pmua:114588964+pmua:114594290+pmua:114596042+pmua:114601753",NA,"rn:R04404",NA,508,209,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry4","50","pmua:114597267","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597267",NA,"rn:R05800",NA,53,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry5","51","pmua:114597267","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597267",NA,"rn:R05801",NA,136,470,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry6","52","pmua:114597278","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597278",NA,"rn:R04513",NA,617,115,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry7","53","pmua:114597276","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597276",NA,"rn:R03434",NA,174,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry8","54","pmua:114585335 / pmua:114586515 / pmua:114597360","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114585335+pmua:114586515+pmua:114597360",NA,"rn:R03430",NA,174,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry9","55","pmua:114587133 / pmua:114594112 / pmua:114594605 / pmua:114603178","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114587133+pmua:114594112+pmua:114594605+pmua:114603178",NA,"rn:R03433",NA,174,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry10","56","pmua:114590768","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114590768",NA,"rn:R03428",NA,174,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry13","59","pmua:114590768","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114590768",NA,"rn:R03429",NA,229,384,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry14","60","pmua:114597267","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597267",NA,"rn:R03478",NA,229,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry15","61","pmua:114590768","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114590768",NA,"rn:R03479",NA,229,509,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry16","62","pmua:114585335 / pmua:114586515 / pmua:114597360","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114585335+pmua:114586515+pmua:114597360",NA,"rn:R03394",NA,284,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry17","63","pmua:114592953","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114592953",NA,"rn:R03427",NA,284,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry18","64","pmua:114592953","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114592953",NA,"rn:R03393",NA,389,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry19","65","pmua:114596364 / pmua:114603723","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114596364+pmua:114603723",NA,"rn:R04372",NA,389,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry20","66","pmua:114588988","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114588988",NA,"rn:R03330",NA,716,376,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry22","68","pmua:114588387","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114588387",NA,"rn:R07324",NA,389,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry23","69","pmua:114600468 / pmua:114600755 / pmua:114607226","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114600468+pmua:114600755+pmua:114607226",NA,"rn:R01186",NA,498,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry24","70","pmua:114600468 / pmua:114600755 / pmua:114607226","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114600468+pmua:114600755+pmua:114607226",NA,"rn:R01187",NA,498,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry25","71","pmua:114605848","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114605848",NA,"rn:R01184",NA,510,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry27","73","pmua:114586432 / pmua:114586782 / pmua:114597587 / pmua:114603989","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114586432+pmua:114586782+pmua:114597587+pmua:114603989",NA,"rn:R03361",NA,711,248,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry29","75","pmua:114586075 / pmua:114588245 / pmua:114589207 / pmua:114606114","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114586075+pmua:114588245+pmua:114589207+pmua:114606114",NA,"rn:R03469",NA,558,209,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry30","76","pmua:114606411","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114606411",NA,"rn:R03362",NA,845,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry31","77","pmua:114585500 / pmua:114586128 / pmua:114588777 / pmua:114588826 / pmua:114588988 / pmua:114591944 / pmua:114595646 / pmua:114595740 / pmua:114604603","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114585500+pmua:114586128+pmua:114588777+pmua:114588826+pmua:114588988+pmua:114591944+pmua:114595646+pmua:114595740+pmua:114604603",NA,"rn:R03363",NA,895,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry34","80","pmua:114600468 / pmua:114600755 / pmua:114607226","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114600468+pmua:114600755+pmua:114607226",NA,"rn:R01185",NA,642,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry35","81","pmua:114582375 / pmua:114586167 / pmua:114593658 / pmua:114593659 / pmua:114593800 / pmua:114597322 / pmua:114597905 / pmua:114599554 / pmua:114600186 / pmua:114601931 / pmua:114602562 / pmua:114603199 / pmua:114605593 / pmua:114605595 / pmua:114607475","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114582375+pmua:114586167+pmua:114593658+pmua:114593659+pmua:114593800+pmua:114597322+pmua:114597905+pmua:114599554+pmua:114600186+pmua:114601931+pmua:114602562+pmua:114603199+pmua:114605593+pmua:114605595+pmua:114607475",NA,"rn:R03435",NA,397,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry37","85","pmua:114591613","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114591613",NA,"rn:R05202",NA,168,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry38","86","pmua:114581855 / pmua:114597773 / pmua:114598008 / pmua:114602471 / pmua:114605819","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114581855+pmua:114597773+pmua:114598008+pmua:114602471+pmua:114605819",NA,"rn:R04545",NA,617,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry77","134","pmua:114592094","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114592094",NA,"rn:R00705 rn:R00706",NA,959,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry78","135","pmua:114587774","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114587774",NA,"rn:R01015",NA,959,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry81","139","pmua:114581976","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114581976",NA,"rn:R05802",NA,844,122,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry82","141","pmua:114582171","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114582171",NA,"rn:R01802",NA,711,301,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry84","144","pmua:114596364 / pmua:114603723","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114596364+pmua:114603723",NA,"rn:R07299",NA,765,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry85","146","pmua:114598648 / pmua:114599287","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114598648+pmua:114599287",NA,"rn:R05795",NA,617,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry86","148","pmua:114595500 / pmua:114597655","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114595500+pmua:114597655",NA,"rn:R09827",NA,679,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry100","167","pmua:114585500 / pmua:114586128 / pmua:114588777 / pmua:114588826 / pmua:114588988 / pmua:114591944 / pmua:114595646 / pmua:114595740 / pmua:114604603","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114585500+pmua:114586128+pmua:114588777+pmua:114588826+pmua:114588988+pmua:114591944+pmua:114595646+pmua:114595740+pmua:114604603",NA,"rn:R10928",NA,711,69,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry101","169","pmua:114597428 / pmua:114607089","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114597428+pmua:114607089",NA,"rn:R11680",NA,711,275,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry111","184","pmua:114594029","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114594029",NA,"rn:R12124",NA,895,122,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
