"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","42","otw:112215477 / otw:112216340 / otw:112216371 / otw:112221741 / otw:112245592 / otw:112245672 / otw:112245753 / otw:112264471","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112215477+otw:112216340+otw:112216371+otw:112221741+otw:112245592+otw:112245672+otw:112245753+otw:112264471",NA,"rn:R05803",NA,558,103,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry3","44","otw:112221081 / otw:112223094 / otw:112231819 / otw:112232800 / otw:112233599 / otw:112246112 / otw:112246606 / otw:112251278 / otw:112256368 / otw:112263110","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112221081+otw:112223094+otw:112231819+otw:112232800+otw:112233599+otw:112246112+otw:112246606+otw:112251278+otw:112256368+otw:112263110",NA,"rn:R04404",NA,508,209,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry4","45","otw:112223433 / otw:112224288","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223433+otw:112224288",NA,"rn:R05800",NA,53,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry5","46","otw:112223433 / otw:112224288","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223433+otw:112224288",NA,"rn:R05801",NA,136,470,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry6","47","otw:112223442 / otw:112224277 / otw:112253032 / otw:112254533","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223442+otw:112224277+otw:112253032+otw:112254533",NA,"rn:R04513",NA,617,115,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry7","48","otw:112223438 / otw:112224280 / otw:112253031","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223438+otw:112224280+otw:112253031",NA,"rn:R03434",NA,174,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry8","49","otw:112219415 / otw:112231096 / otw:112233546 / otw:112245918 / otw:112248486 / otw:112252846 / otw:112253060 / otw:112262860 / otw:112262914 / otw:112265175 / otw:112266819","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112219415+otw:112231096+otw:112233546+otw:112245918+otw:112248486+otw:112252846+otw:112253060+otw:112262860+otw:112262914+otw:112265175+otw:112266819",NA,"rn:R03430",NA,174,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry9","50","otw:112217348 / otw:112217638 / otw:112221172 / otw:112228700 / otw:112244719 / otw:112250220 / otw:112250337 / otw:112255916 / otw:112256528 / otw:112257695 / otw:112261997 / otw:112266736","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112217348+otw:112217638+otw:112221172+otw:112228700+otw:112244719+otw:112250220+otw:112250337+otw:112255916+otw:112256528+otw:112257695+otw:112261997+otw:112266736",NA,"rn:R03433",NA,174,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry10","51","otw:112233219 / otw:112250446 / otw:112256745 / otw:112261728 / otw:112265274","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112233219+otw:112250446+otw:112256745+otw:112261728+otw:112265274",NA,"rn:R03428",NA,174,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry13","54","otw:112233219 / otw:112250446 / otw:112256745 / otw:112261728 / otw:112265274","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112233219+otw:112250446+otw:112256745+otw:112261728+otw:112265274",NA,"rn:R03429",NA,229,384,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry14","55","otw:112223433 / otw:112224288","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223433+otw:112224288",NA,"rn:R03478",NA,229,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry15","56","otw:112233219 / otw:112250446 / otw:112256745 / otw:112261728 / otw:112265274","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112233219+otw:112250446+otw:112256745+otw:112261728+otw:112265274",NA,"rn:R03479",NA,229,509,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry16","57","otw:112219415 / otw:112231096 / otw:112233546 / otw:112245918 / otw:112248486 / otw:112252846 / otw:112253060 / otw:112262860 / otw:112262914 / otw:112265175 / otw:112266819","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112219415+otw:112231096+otw:112233546+otw:112245918+otw:112248486+otw:112252846+otw:112253060+otw:112262860+otw:112262914+otw:112265175+otw:112266819",NA,"rn:R03394",NA,284,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry17","58","otw:112215856","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112215856",NA,"rn:R03427",NA,284,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry18","59","otw:112215856","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112215856",NA,"rn:R03393",NA,389,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry19","60","otw:112224627 / otw:112234710 / otw:112234711 / otw:112237419 / otw:112266371","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112224627+otw:112234710+otw:112234711+otw:112237419+otw:112266371",NA,"rn:R04372",NA,389,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry20","61","otw:112214515 / otw:112237504","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112214515+otw:112237504",NA,"rn:R03330",NA,716,376,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry22","63","otw:112235117 / otw:112266385","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112235117+otw:112266385",NA,"rn:R07324",NA,389,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry23","64","otw:112216576 / otw:112227261 / otw:112227789 / otw:112234167 / otw:112246807 / otw:112260379","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112216576+otw:112227261+otw:112227789+otw:112234167+otw:112246807+otw:112260379",NA,"rn:R01186",NA,498,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry24","65","otw:112216576 / otw:112227261 / otw:112227789 / otw:112234167 / otw:112246807 / otw:112260379","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112216576+otw:112227261+otw:112227789+otw:112234167+otw:112246807+otw:112260379",NA,"rn:R01187",NA,498,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry25","66","otw:112218632","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112218632",NA,"rn:R01184",NA,510,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry27","68","otw:112219586 / otw:112222808 / otw:112225528 / otw:112229757 / otw:112232390 / otw:112237001 / otw:112241206 / otw:112242189 / otw:112247662 / otw:112247663 / otw:112256645 / otw:112257265 / otw:112264740","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112219586+otw:112222808+otw:112225528+otw:112229757+otw:112232390+otw:112237001+otw:112241206+otw:112242189+otw:112247662+otw:112247663+otw:112256645+otw:112257265+otw:112264740",NA,"rn:R03361",NA,711,248,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry29","70","otw:112220090 / otw:112220399 / otw:112227340 / otw:112230514 / otw:112230754 / otw:112235372 / otw:112248332 / otw:112248588 / otw:112250823 / otw:112252223 / otw:112259638 / otw:112260798 / otw:112263072 / otw:112263935 / otw:112266614","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112220090+otw:112220399+otw:112227340+otw:112230514+otw:112230754+otw:112235372+otw:112248332+otw:112248588+otw:112250823+otw:112252223+otw:112259638+otw:112260798+otw:112263072+otw:112263935+otw:112266614",NA,"rn:R03469",NA,558,209,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry30","71","otw:112214613","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112214613",NA,"rn:R03362",NA,845,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry31","72","otw:112214515 / otw:112214516 / otw:112227653 / otw:112228670 / otw:112228722 / otw:112237504 / otw:112237505 / otw:112237655 / otw:112238740 / otw:112239701 / otw:112248360 / otw:112250241 / otw:112257028 / otw:112257738 / otw:112258344 / otw:112258345 / otw:112263041 / otw:112267540","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112214515+otw:112214516+otw:112227653+otw:112228670+otw:112228722+otw:112237504+otw:112237505+otw:112237655+otw:112238740+otw:112239701+otw:112248360+otw:112250241+otw:112257028+otw:112257738+otw:112258344+otw:112258345+otw:112263041+otw:112267540",NA,"rn:R03363",NA,895,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry34","75","otw:112216576 / otw:112227261 / otw:112227789 / otw:112234167 / otw:112246807 / otw:112260379","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112216576+otw:112227261+otw:112227789+otw:112234167+otw:112246807+otw:112260379",NA,"rn:R01185",NA,642,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry35","76","otw:112214487 / otw:112215251 / otw:112217984 / otw:112220510 / otw:112221599 / otw:112222319 / otw:112223466 / otw:112223817 / otw:112224760 / otw:112225128 / otw:112227605 / otw:112232923 / otw:112233891 / otw:112235269 / otw:112235892 / otw:112241085 / otw:112246821 / otw:112247188 / otw:112251519 / otw:112252303 / otw:112253173 / otw:112253784 / otw:112253893 / otw:112255241 / otw:112255750 / otw:112256030 / otw:112258602 / otw:112258636 / otw:112259672 / otw:112262454 / otw:112266197 / otw:112267500","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112214487+otw:112215251+otw:112217984+otw:112220510+otw:112221599+otw:112222319+otw:112223466+otw:112223817+otw:112224760+otw:112225128+otw:112227605+otw:112232923+otw:112233891+otw:112235269+otw:112235892+otw:112241085+otw:112246821+otw:112247188+otw:112251519+otw:112252303+otw:112253173+otw:112253784+otw:112253893+otw:112255241+otw:112255750+otw:112256030+otw:112258602+otw:112258636+otw:112259672+otw:112262454+otw:112266197+otw:112267500",NA,"rn:R03435",NA,397,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry36","77","otw:112229698 / otw:112235832 / otw:112242428","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112229698+otw:112235832+otw:112242428",NA,"rn:R03332",NA,781,351,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry37","80","otw:112222097 / otw:112235151 / otw:112240318","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112222097+otw:112235151+otw:112240318",NA,"rn:R05202",NA,168,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry38","81","otw:112214342 / otw:112216008 / otw:112216060 / otw:112216864 / otw:112227144 / otw:112232603 / otw:112251044 / otw:112260202 / otw:112265788 / otw:112267269","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112214342+otw:112216008+otw:112216060+otw:112216864+otw:112227144+otw:112232603+otw:112251044+otw:112260202+otw:112265788+otw:112267269",NA,"rn:R04545",NA,617,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry77","128","otw:112217831 / otw:112233181 / otw:112250560 / otw:112261765","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112217831+otw:112233181+otw:112250560+otw:112261765",NA,"rn:R00705 rn:R00706",NA,959,564,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry78","129","otw:112223111 / otw:112229835 / otw:112232015 / otw:112233277 / otw:112233479 / otw:112246553 / otw:112264816","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112223111+otw:112229835+otw:112232015+otw:112233277+otw:112233479+otw:112246553+otw:112264816",NA,"rn:R01015",NA,959,611,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry81","133","otw:112225608 / otw:112238212","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112225608+otw:112238212",NA,"rn:R05802",NA,844,122,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry82","135","otw:112258409","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112258409",NA,"rn:R01802",NA,711,301,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry84","138","otw:112224627 / otw:112234710 / otw:112234711 / otw:112237419 / otw:112266371","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112224627+otw:112234710+otw:112234711+otw:112237419+otw:112266371",NA,"rn:R07299",NA,765,176,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry85","140","otw:112218269 / otw:112220511 / otw:112220842 / otw:112244846 / otw:112255311 / otw:112259204","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112218269+otw:112220511+otw:112220842+otw:112244846+otw:112255311+otw:112259204",NA,"rn:R05795",NA,617,236,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
"entry86","142","otw:112220882 / otw:112247793 / otw:112251275 / otw:112251279 / otw:112251665 / otw:112256188","gene","http://www.kegg.jp/dbget-bin/www_bget?otw:112220882+otw:112247793+otw:112251275+otw:112251279+otw:112251665+otw:112256188",NA,"rn:R09827",NA,679,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00562"
