"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4","71","lpg:BB562_01710","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_01710",NA,"rn:R00846",NA,170,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry24","95","lpg:BB562_11620","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_11620",NA,"rn:R02240",NA,426,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry29","100","lpg:BB562_04715 / lpg:BB562_05785 / lpg:BB562_09520 / lpg:BB562_10800","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_04715+lpg:BB562_05785+lpg:BB562_09520+lpg:BB562_10800",NA,"rn:R01470",NA,981,637,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry32","103","lpg:BB562_07425","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_07425",NA,"rn:R02241",NA,277,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry40","113","lpg:BB562_13320","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_13320",NA,"rn:R00842 rn:R00844",NA,170,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry53","126","lpg:BB562_07485","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_07485",NA,"rn:R01799",NA,371,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry55","128","lpg:BB562_01195","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_01195",NA,"rn:R00856",NA,388,221,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry65","138","lpg:BB562_04715 / lpg:BB562_05785 / lpg:BB562_09520 / lpg:BB562_10800","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_04715+lpg:BB562_05785+lpg:BB562_09520+lpg:BB562_10800",NA,"rn:R01030",NA,981,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry71","144","lpg:BB562_05995","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_05995",NA,"rn:R01801",NA,346,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry148","245","lpg:BB562_14965","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_14965",NA,"rn:R07390",NA,277,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry149","246","lpg:BB562_08290","gene","http://www.kegg.jp/dbget-bin/www_bget?lpg:BB562_08290",NA,"rn:R12241",NA,301,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
