"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry10","79","dha:DEHA2A08624g / dha:DEHA2E07040g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2A08624g+dha:DEHA2E07040g",NA,"rn:R01013",NA,112,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry12","83","dha:DEHA2F23364g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2F23364g",NA,"rn:R01318",NA,763,211,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry14","85","dha:DEHA2G21560g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2G21560g",NA,"rn:R01890",NA,861,311,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry15","86","dha:DEHA2D11836g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2D11836g",NA,"rn:R01021",NA,981,303,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry18","89","dha:DEHA2A07040g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2A07040g",NA,"rn:R02038",NA,861,522,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry19","90","dha:DEHA2F15862g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2F15862g",NA,"rn:R01468",NA,981,509,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry22","93","dha:DEHA2E05390g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2E05390g",NA,"rn:R01315",NA,763,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry23","94","dha:DEHA2C04422g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2C04422g",NA,"rn:R02027",NA,449,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry25","96","dha:DEHA2D04268g / dha:DEHA2E13838g / dha:DEHA2F15884g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2D04268g+dha:DEHA2E13838g+dha:DEHA2F15884g",NA,"rn:R02239",NA,562,427,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry26","97","dha:DEHA2C02926g","gene","http://www.kegg.jp/dbget-bin/www_bget?dha:DEHA2C02926g",NA,"rn:R01310",NA,426,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
