"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry24","95","ctae:BGI42_04330","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_04330",NA,"rn:R02240",NA,426,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry29","100","ctae:BGI42_07755 / ctae:BGI42_14335","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07755+ctae:BGI42_14335",NA,"rn:R01470",NA,981,637,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry30","101","ctae:BGI42_12160","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_12160",NA,"rn:R01800",NA,426,633,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry32","103","ctae:BGI42_12100 / ctae:BGI42_14100","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_12100+ctae:BGI42_14100",NA,"rn:R02241",NA,277,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry40","113","ctae:BGI42_05500","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_05500",NA,"rn:R00842 rn:R00844",NA,170,210,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry41","114","ctae:BGI42_04840","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_04840",NA,"rn:R00848",NA,170,250,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry48","121","ctae:BGI42_07320 / ctae:BGI42_08940","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07320+ctae:BGI42_08940",NA,"rn:R03416",NA,861,618,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry52","125","ctae:BGI42_07320 / ctae:BGI42_08940","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07320+ctae:BGI42_08940",NA,"rn:R03417",NA,861,637,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry53","126","ctae:BGI42_05795","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_05795",NA,"rn:R01799",NA,371,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry58","131","ctae:BGI42_07320 / ctae:BGI42_08940","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07320+ctae:BGI42_08940",NA,"rn:R02747",NA,861,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry60","133","ctae:BGI42_00155","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_00155",NA,"rn:R02055",NA,588,624,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry65","138","ctae:BGI42_07755 / ctae:BGI42_14335","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07755+ctae:BGI42_14335",NA,"rn:R01030",NA,981,231,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry66","139","ctae:BGI42_07320 / ctae:BGI42_08940","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_07320+ctae:BGI42_08940",NA,"rn:R02746",NA,861,212,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry71","144","ctae:BGI42_05910","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_05910",NA,"rn:R01801",NA,346,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
"entry148","245","ctae:BGI42_08930 / ctae:BGI42_12440","gene","http://www.kegg.jp/dbget-bin/www_bget?ctae:BGI42_08930+ctae:BGI42_12440",NA,"rn:R07390",NA,277,792,"rectangle",46,17,"#000000","#BFFFBF",1,"00564"
