"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","apl:APL_0773","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0773",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry6","59","apl:APL_0339","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0339",NA,"rn:R00345",NA,221,128,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry9","62","apl:APL_0800","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0800",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","apl:APL_0187","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0187",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","apl:APL_0181","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0181",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","apl:APL_0123 / apl:APL_0415","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0123+apl:APL_0415",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry25","82","apl:APL_1036","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1036",NA,"rn:R00212",NA,296,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry26","83","apl:APL_0486","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0486",NA,"rn:R00216",NA,217,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","apl:APL_1296","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1296",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry30","88","apl:APL_1414","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1414",NA,"rn:R01257",NA,161,578,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry34","92","apl:APL_1849","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1849",NA,"rn:R00196",NA,716,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","97","apl:APL_0644","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0644",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry45","107","apl:APL_1011","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1011",NA,"rn:R00228",NA,644,686,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","apl:APL_0393","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0393",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","116","apl:APL_0631 / apl:APL_1486 / apl:APL_1864 / apl:APL_1865","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0631+apl:APL_1486+apl:APL_1864+apl:APL_1865",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry57","123","apl:APL_0773","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0773",NA,"rn:R00014",NA,405,397,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry58","124","apl:APL_0772","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0772",NA,"rn:R02569",NA,406,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry59","125","apl:APL_0771","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0771",NA,"rn:R07618",NA,367,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry61","129","apl:APL_0645","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0645",NA,"rn:R00315",NA,716,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry62","130","apl:APL_0143","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0143",NA,"rn:R00317",NA,716,499,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry98","174","apl:APL_1757","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1757",NA,"rn:R01082",NA,211,654,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry99","175","apl:APL_1526 / apl:APL_1527 / apl:APL_1528 / apl:APL_1529","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1526+apl:APL_1527+apl:APL_1528+apl:APL_1529",NA,"rn:R02164",NA,306,650,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry106","183","apl:APL_0687","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_0687",NA,"rn:R11591",NA,580,256,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry109","187","apl:APL_1375 / apl:APL_1376 / apl:APL_1377","gene","http://www.kegg.jp/dbget-bin/www_bget?apl:APL_1375+apl:APL_1376+apl:APL_1377",NA,"rn:R12212",NA,82,394,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
