"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","rpf:Rpic12D_1619 / rpf:Rpic12D_3569 / rpf:Rpic12D_3570","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1619+rpf:Rpic12D_3569+rpf:Rpic12D_3570",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry6","59","rpf:Rpic12D_2167","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_2167",NA,"rn:R00345",NA,221,128,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry7","60","rpf:Rpic12D_3416","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_3416",NA,"rn:R00431 rn:R00726",NA,221,155,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry11","64","rpf:Rpic12D_1362 / rpf:Rpic12D_4522","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1362+rpf:Rpic12D_4522",NA,"rn:R00199",NA,340,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","rpf:Rpic12D_0479 / rpf:Rpic12D_3155","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0479+rpf:Rpic12D_3155",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","rpf:Rpic12D_0411 / rpf:Rpic12D_2118","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0411+rpf:Rpic12D_2118",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry16","72","rpf:Rpic12D_3060","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_3060",NA,"rn:R00704",NA,580,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry17","73","rpf:Rpic12D_2494","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_2494",NA,"rn:R00197",NA,522,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","rpf:Rpic12D_1731 / rpf:Rpic12D_2116 / rpf:Rpic12D_3138","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1731+rpf:Rpic12D_2116+rpf:Rpic12D_3138",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry26","83","rpf:Rpic12D_1940 / rpf:Rpic12D_2603","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1940+rpf:Rpic12D_2603",NA,"rn:R00216",NA,217,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","rpf:Rpic12D_1829","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1829",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry33","91","rpf:Rpic12D_1302","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1302",NA,"rn:R00472",NA,348,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry36","95","rpf:Rpic12D_0076","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0076",NA,"rn:R03145",NA,644,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","97","rpf:Rpic12D_4426","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_4426",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","98","rpf:Rpic12D_1775 / rpf:Rpic12D_3568 / rpf:Rpic12D_4087 / rpf:Rpic12D_4255","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1775+rpf:Rpic12D_3568+rpf:Rpic12D_4087+rpf:Rpic12D_4255",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry41","100","rpf:Rpic12D_0361","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0361",NA,"rn:R00928",NA,668,598,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","103","rpf:Rpic12D_1775 / rpf:Rpic12D_3568 / rpf:Rpic12D_4087 / rpf:Rpic12D_4255","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1775+rpf:Rpic12D_3568+rpf:Rpic12D_4087+rpf:Rpic12D_4255",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry44","104","rpf:Rpic12D_1033 / rpf:Rpic12D_2161","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1033+rpf:Rpic12D_2161",NA,"rn:R00710",NA,776,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry45","107","rpf:Rpic12D_3542","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_3542",NA,"rn:R00228",NA,644,686,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry47","109","rpf:Rpic12D_0134 / rpf:Rpic12D_0429 / rpf:Rpic12D_1486 / rpf:Rpic12D_1581 / rpf:Rpic12D_1587 / rpf:Rpic12D_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0134+rpf:Rpic12D_0429+rpf:Rpic12D_1486+rpf:Rpic12D_1581+rpf:Rpic12D_1587+rpf:Rpic12D_3851",NA,"rn:R00238",NA,348,780,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","rpf:Rpic12D_1900 / rpf:Rpic12D_3729","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1900+rpf:Rpic12D_3729",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","116","rpf:Rpic12D_1104 / rpf:Rpic12D_1810 / rpf:Rpic12D_2621 / rpf:Rpic12D_2622","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1104+rpf:Rpic12D_1810+rpf:Rpic12D_2621+rpf:Rpic12D_2622",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry56","122","rpf:Rpic12D_0122 / rpf:Rpic12D_0758 / rpf:Rpic12D_0964","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_0122+rpf:Rpic12D_0758+rpf:Rpic12D_0964",NA,"rn:R02527",NA,709,138,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry57","123","rpf:Rpic12D_1619 / rpf:Rpic12D_3569 / rpf:Rpic12D_3570","gene","http://www.kegg.jp/dbget-bin/www_bget?rpf:Rpic12D_1619+rpf:Rpic12D_3569+rpf:Rpic12D_3570",NA,"rn:R00014",NA,405,397,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
