"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","66","doa:AXF15_05770 / doa:AXF15_05775 / doa:AXF15_07580","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_05770+doa:AXF15_05775+doa:AXF15_07580",NA,"rn:R00199",NA,340,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","67","doa:AXF15_05345","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_05345",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","76","doa:AXF15_06700","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_06700",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry22","81","doa:AXF15_07575","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_07575",NA,"rn:R00344",NA,160,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry26","85","doa:AXF15_04100","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_04100",NA,"rn:R00216",NA,217,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry27","87","doa:AXF15_11095","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_11095",NA,"rn:R01196",NA,513,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","99","doa:AXF15_11075","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_11075",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","100","doa:AXF15_03265 / doa:AXF15_09390 / doa:AXF15_09785","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_03265+doa:AXF15_09390+doa:AXF15_09785",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry42","103","doa:AXF15_05655","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_05655",NA,"rn:R00229",NA,716,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","105","doa:AXF15_03265 / doa:AXF15_09390 / doa:AXF15_09785","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_03265+doa:AXF15_09390+doa:AXF15_09785",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry45","109","doa:AXF15_07760","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_07760",NA,"rn:R00228",NA,644,686,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","112","doa:AXF15_05690 / doa:AXF15_11880","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_05690+doa:AXF15_11880",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","118","doa:AXF15_05505","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_05505",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry59","127","doa:AXF15_04175","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_04175",NA,"rn:R07618",NA,367,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry61","131","doa:AXF15_11070","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_11070",NA,"rn:R00315",NA,716,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry98","189","doa:AXF15_04090 / doa:AXF15_04095","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_04090+doa:AXF15_04095",NA,"rn:R01082",NA,211,654,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry99","190","doa:AXF15_04075 / doa:AXF15_04080 / doa:AXF15_04085","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_04075+doa:AXF15_04080+doa:AXF15_04085",NA,"rn:R02164",NA,306,650,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry101","193","doa:AXF15_11095","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_11095",NA,"rn:R10866",NA,539,488,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry102","195","doa:AXF15_04460 / doa:AXF15_04465","gene","http://www.kegg.jp/dbget-bin/www_bget?doa:AXF15_04460+doa:AXF15_04465",NA,"rn:R01196",NA,484,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
