"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","mex:Mext_2786 / mex:Mext_2787","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2786+mex:Mext_2787",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry6","59","mex:Mext_1801 / mex:Mext_4533","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1801+mex:Mext_4533",NA,"rn:R00345",NA,221,128,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry9","62","mex:Mext_1639","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1639",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry10","63","mex:Mext_2891","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2891",NA,"rn:R00206",NA,290,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","mex:Mext_2744","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2744",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","mex:Mext_0440 / mex:Mext_4287","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_0440+mex:Mext_4287",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry16","72","mex:Mext_0035 / mex:Mext_4349","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_0035+mex:Mext_4349",NA,"rn:R00704",NA,580,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","mex:Mext_2510 / mex:Mext_2576","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2510+mex:Mext_2576",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry26","83","mex:Mext_0827","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_0827",NA,"rn:R00216",NA,217,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","mex:Mext_1643","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1643",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry30","88","mex:Mext_1509","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1509",NA,"rn:R01257",NA,161,578,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry36","95","mex:Mext_1564","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1564",NA,"rn:R03145",NA,644,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","98","mex:Mext_2562 / mex:Mext_4434","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2562+mex:Mext_4434",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry41","100","mex:Mext_2071","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2071",NA,"rn:R00928",NA,668,598,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","103","mex:Mext_2562 / mex:Mext_4434","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2562+mex:Mext_4434",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry47","109","mex:Mext_3244 / mex:Mext_3469","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_3244+mex:Mext_3469",NA,"rn:R00238",NA,348,780,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","mex:Mext_2674","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_2674",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","116","mex:Mext_1095 / mex:Mext_1096 / mex:Mext_4445 / mex:Mext_4731","gene","http://www.kegg.jp/dbget-bin/www_bget?mex:Mext_1095+mex:Mext_1096+mex:Mext_4445+mex:Mext_4731",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
