"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","lfu:HR49_19385 / lfu:HR49_19390","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_19385+lfu:HR49_19390",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry9","62","lfu:HR49_05890","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_05890",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","lfu:HR49_06390","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_06390",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry14","68","lfu:HR49_01815 / lfu:HR49_04160 / lfu:HR49_23405","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_01815+lfu:HR49_04160+lfu:HR49_23405",NA,"rn:R02260",NA,709,71,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","lfu:HR49_00510","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_00510",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry17","73","lfu:HR49_06585","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_06585",NA,"rn:R00197",NA,522,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","lfu:HR49_08400","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_08400",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry22","79","lfu:HR49_19245","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_19245",NA,"rn:R00344",NA,160,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry23","80","lfu:HR49_15440","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_15440",NA,"rn:R00214",NA,191,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","lfu:HR49_06415 / lfu:HR49_15565","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_06415+lfu:HR49_15565",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry30","88","lfu:HR49_00395","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_00395",NA,"rn:R01257",NA,161,578,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry33","91","lfu:HR49_23240","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_23240",NA,"rn:R00472",NA,348,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","97","lfu:HR49_15585","gene","http://www.kegg.jp/dbget-bin/www_bget?lfu:HR49_15585",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
