"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","57","lmog:BN389_10830 / lmog:BN389_10840","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_10830+lmog:BN389_10840",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry10","65","lmog:BN389_18920","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_18920",NA,"rn:R00206",NA,290,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","67","lmog:BN389_15950","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_15950",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry14","70","lmog:BN389_08530","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_08530",NA,"rn:R02260",NA,709,71,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","72","lmog:BN389_04340 / lmog:BN389_22010","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_04340+lmog:BN389_22010",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","76","lmog:BN389_22000","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_22000",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry22","81","lmog:BN389_11010","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_11010",NA,"rn:R00344",NA,160,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry23","82","lmog:BN389_19400","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_19400",NA,"rn:R00214",NA,191,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry25","84","lmog:BN389_14320 / lmog:BN389_19420","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_14320+lmog:BN389_19420",NA,"rn:R00212",NA,296,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry27","87","lmog:BN389_08570","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_08570",NA,"rn:R01196",NA,513,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry35","95","lmog:BN389_02240 / lmog:BN389_15590 / lmog:BN389_16950","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_02240+lmog:BN389_15590+lmog:BN389_16950",NA,"rn:R00703",NA,644,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry37","98","lmog:BN389_07680","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_07680",NA,"rn:R00207",NA,572,413,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","99","lmog:BN389_21330","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_21330",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","100","lmog:BN389_26890","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_26890",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry41","102","lmog:BN389_22050","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_22050",NA,"rn:R00928",NA,668,598,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","105","lmog:BN389_26890","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_26890",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry45","109","lmog:BN389_16580","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_16580",NA,"rn:R00228",NA,644,686,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry47","111","lmog:BN389_14400","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_14400",NA,"rn:R00238",NA,348,780,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","112","lmog:BN389_20050","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_20050",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","118","lmog:BN389_13800 / lmog:BN389_13810 / lmog:BN389_15970 / lmog:BN389_15980","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_13800+lmog:BN389_13810+lmog:BN389_15970+lmog:BN389_15980",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry57","125","lmog:BN389_10830 / lmog:BN389_10840","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_10830+lmog:BN389_10840",NA,"rn:R00014",NA,405,397,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry58","126","lmog:BN389_10850","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_10850",NA,"rn:R02569",NA,406,529,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry59","127","lmog:BN389_10860 / lmog:BN389_10870 / lmog:BN389_13950","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_10860+lmog:BN389_10870+lmog:BN389_13950",NA,"rn:R07618",NA,367,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry61","131","lmog:BN389_11870 / lmog:BN389_16060","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_11870+lmog:BN389_16060",NA,"rn:R00315",NA,716,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry62","132","lmog:BN389_14060","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_14060",NA,"rn:R00317",NA,716,499,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry98","189","lmog:BN389_22580","gene","http://www.kegg.jp/dbget-bin/www_bget?lmog:BN389_22580",NA,"rn:R01082",NA,211,654,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
