"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","62","rim:ROI_22220","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_22220",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry10","63","rim:ROI_19500","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_19500",NA,"rn:R00206",NA,290,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","rim:ROI_29080","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_29080",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","rim:ROI_09170","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_09170",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry23","80","rim:ROI_11900","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_11900",NA,"rn:R00214",NA,191,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry25","82","rim:ROI_16660","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_16660",NA,"rn:R00212",NA,296,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry27","85","rim:ROI_19110 / rim:ROI_40260 / rim:ROI_40270","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_19110+rim:ROI_40260+rim:ROI_40270",NA,"rn:R01196",NA,513,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry35","93","rim:ROI_01790 / rim:ROI_25220","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_01790+rim:ROI_25220",NA,"rn:R00703",NA,644,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","97","rim:ROI_40930","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_40930",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry47","109","rim:ROI_30650","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_30650",NA,"rn:R00238",NA,348,780,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","rim:ROI_02210","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_02210",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","116","rim:ROI_01750","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_01750",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry61","129","rim:ROI_10470","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_10470",NA,"rn:R00315",NA,716,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry62","130","rim:ROI_41120","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_41120",NA,"rn:R00317",NA,716,499,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry98","174","rim:ROI_32280 / rim:ROI_32300","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_32280+rim:ROI_32300",NA,"rn:R01082",NA,211,654,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry101","177","rim:ROI_19110","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_19110",NA,"rn:R10866",NA,539,488,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry109","187","rim:ROI_21890 / rim:ROI_21900","gene","http://www.kegg.jp/dbget-bin/www_bget?rim:ROI_21890+rim:ROI_21900",NA,"rn:R12212",NA,82,394,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
