"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","62","bfg:BF638R_4326","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_4326",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry10","63","bfg:BF638R_2565","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_2565",NA,"rn:R00206",NA,290,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","65","bfg:BF638R_4359","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_4359",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","bfg:BF638R_1465 / bfg:BF638R_2430","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1465+bfg:BF638R_2430",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry16","72","bfg:BF638R_1473","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1473",NA,"rn:R00704",NA,580,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","bfg:BF638R_2151","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_2151",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry22","79","bfg:BF638R_1927 / bfg:BF638R_2828","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1927+bfg:BF638R_2828",NA,"rn:R00344",NA,160,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry25","82","bfg:BF638R_1339 / bfg:BF638R_4263","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1339+bfg:BF638R_4263",NA,"rn:R00212",NA,296,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry26","83","bfg:BF638R_3435","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_3435",NA,"rn:R00216",NA,217,459,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry27","85","bfg:BF638R_3194","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_3194",NA,"rn:R01196",NA,513,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","bfg:BF638R_0537 / bfg:BF638R_3828","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0537+bfg:BF638R_3828",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry36","95","bfg:BF638R_3245","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_3245",NA,"rn:R03145",NA,644,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry38","97","bfg:BF638R_0489","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0489",NA,"rn:R00230",NA,592,525,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","98","bfg:BF638R_0525","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0525",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","103","bfg:BF638R_0525","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0525",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","bfg:BF638R_3302","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_3302",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry52","116","bfg:BF638R_1626 / bfg:BF638R_3365","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1626+bfg:BF638R_3365",NA,"rn:R00742",NA,465,819,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry59","125","bfg:BF638R_0023 / bfg:BF638R_1634","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0023+bfg:BF638R_1634",NA,"rn:R07618",NA,367,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry61","129","bfg:BF638R_0490","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0490",NA,"rn:R00315",NA,716,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry98","174","bfg:BF638R_0646","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_0646",NA,"rn:R01082",NA,211,654,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry101","177","bfg:BF638R_3194","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_3194",NA,"rn:R10866",NA,539,488,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry102","179","bfg:BF638R_1656 / bfg:BF638R_1658 / bfg:BF638R_4321 / bfg:BF638R_4322","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1656+bfg:BF638R_1658+bfg:BF638R_4321+bfg:BF638R_4322",NA,"rn:R01196",NA,484,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry109","187","bfg:BF638R_1123 / bfg:BF638R_2827 / bfg:BF638R_2829 / bfg:BF638R_3155","gene","http://www.kegg.jp/dbget-bin/www_bget?bfg:BF638R_1123+bfg:BF638R_2827+bfg:BF638R_2829+bfg:BF638R_3155",NA,"rn:R12212",NA,82,394,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
