"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","62","ndv:NDEV_0339","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0339",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","70","ndv:NDEV_1093","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_1093",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","74","ndv:NDEV_0287","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0287",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry23","80","ndv:NDEV_1387","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_1387",NA,"rn:R00214",NA,191,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry28","86","ndv:NDEV_0298","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0298",NA,"rn:R00342",NA,136,559,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry39","98","ndv:NDEV_0733","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0733",NA,"rn:R00236",NA,515,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry43","103","ndv:NDEV_0733","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0733",NA,"rn:R00316",NA,716,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry47","109","ndv:NDEV_1024 / ndv:NDEV_1984","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_1024+ndv:NDEV_1984",NA,"rn:R00238",NA,348,780,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry48","110","ndv:NDEV_1173 / ndv:NDEV_1628","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_1173+ndv:NDEV_1628",NA,"rn:R01213",NA,465,745,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry62","130","ndv:NDEV_1900","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_1900",NA,"rn:R00317",NA,716,499,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry102","179","ndv:NDEV_0366 / ndv:NDEV_0367","gene","http://www.kegg.jp/dbget-bin/www_bget?ndv:NDEV_0366+ndv:NDEV_0367",NA,"rn:R01196",NA,484,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
