"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","57","ypr:BZ20_1373","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_1373",NA,"rn:R03270",NA,406,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry6","61","ypr:BZ20_2014","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_2014",NA,"rn:R00345",NA,221,128,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry9","64","ypr:BZ20_2332","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_2332",NA,"rn:R00341",NA,221,193,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry11","66","ypr:BZ20_3925","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_3925",NA,"rn:R00199",NA,340,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry12","67","ypr:BZ20_3937 / ypr:BZ20_65","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_3937+ypr:BZ20_65",NA,"rn:R00200 rn:R02320",NA,386,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry15","72","ypr:BZ20_3955","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_3955",NA,"rn:R02530",NA,671,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry16","74","ypr:BZ20_4004","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_4004",NA,"rn:R00704",NA,580,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry18","76","ypr:BZ20_3203 / ypr:BZ20_540","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_3203+ypr:BZ20_540",NA,"rn:R01736",NA,753,187,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry23","82","ypr:BZ20_438","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_438",NA,"rn:R00214",NA,191,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
"entry25","84","ypr:BZ20_568","gene","http://www.kegg.jp/dbget-bin/www_bget?ypr:BZ20_568",NA,"rn:R00212",NA,296,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00620"
