"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","21","bxe:Bxe_B0913 / bxe:Bxe_B0914 / bxe:Bxe_B0915","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0913+bxe:Bxe_B0914+bxe:Bxe_B0915",NA,"rn:R05290 rn:R05291",NA,425,164,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry1","22","bxe:Bxe_B0913 / bxe:Bxe_B0914 / bxe:Bxe_B0915","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0913+bxe:Bxe_B0914+bxe:Bxe_B0915",NA,"rn:R05428",NA,425,267,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry2","23","bxe:Bxe_B0913 / bxe:Bxe_B0914 / bxe:Bxe_B0915","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0913+bxe:Bxe_B0914+bxe:Bxe_B0915",NA,"rn:R05665",NA,425,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry11","32","bxe:Bxe_B0912","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0912",NA,"rn:R05292 rn:R05293",NA,527,166,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry12","33","bxe:Bxe_B0912","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0912",NA,"rn:R05314",NA,527,267,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry13","36","bxe:Bxe_C0302","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_C0302",NA,"rn:R05664",NA,325,358,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry14","37","bxe:Bxe_C0302","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_C0302",NA,"rn:R05663",NA,325,276,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry26","50","bxe:Bxe_C0302","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_C0302",NA,"rn:R05289",NA,325,175,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry32","57","bxe:Bxe_B0912","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_B0912",NA,"rn:R05309",NA,527,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry34","64","bxe:Bxe_A3552 / bxe:Bxe_A3555 / bxe:Bxe_A3556 / bxe:Bxe_A3557","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3552+bxe:Bxe_A3555+bxe:Bxe_A3556+bxe:Bxe_A3557",NA,"rn:R05247",NA,425,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry39","69","bxe:Bxe_A3553","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3553",NA,"rn:R05240",NA,527,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry40","70","bxe:Bxe_A3563","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3563",NA,"rn:R05232",NA,225,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry41","71","bxe:Bxe_A3559 / bxe:Bxe_A3561","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3559+bxe:Bxe_A3561",NA,"rn:R05266",NA,126,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry42","73","bxe:Bxe_A3562","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3562",NA,"rn:R05235",NA,325,452,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
"entry45","77","bxe:Bxe_A3554","gene","http://www.kegg.jp/dbget-bin/www_bget?bxe:Bxe_A3554",NA,"rn:R05248",NA,626,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00622"
