"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry31","77","ppnm:LV28_15525 / ppnm:LV28_15530","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15525+ppnm:LV28_15530",NA,"rn:R05274",NA,562,596,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry32","78","ppnm:LV28_19945","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_19945",NA,"rn:R05699",NA,533,574,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry40","96","ppnm:LV28_06240","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_06240",NA,"rn:R03998 rn:R03999",NA,534,387,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry41","97","ppnm:LV28_06220","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_06220",NA,"rn:R00982",NA,436,388,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry46","109","ppnm:LV28_08940 / ppnm:LV28_08955","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_08940+ppnm:LV28_08955",NA,"rn:R07706",NA,747,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry58","124","ppnm:LV28_11790","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_11790",NA,"rn:R01238",NA,288,316,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry72","152","ppnm:LV28_03305 / ppnm:LV28_11865","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_03305+ppnm:LV28_11865",NA,"rn:R01421",NA,324,139,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry82","167","ppnm:LV28_02475 / ppnm:LV28_07265","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_02475+ppnm:LV28_07265",NA,"rn:R05590",NA,442,146,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry88","173","ppnm:LV28_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15515",NA,"rn:R01419",NA,340,189,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry89","177","ppnm:LV28_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15515",NA,"rn:R01293",NA,340,292,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry93","186","ppnm:LV28_15510","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15510",NA,"rn:R01764",NA,239,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry94","187","ppnm:LV28_21225","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_21225",NA,"rn:R07664",NA,148,179,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry97","195","ppnm:LV28_21225","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_21225",NA,"rn:R04160",NA,148,242,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry98","197","ppnm:LV28_15510","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15510",NA,"rn:R02672",NA,239,243,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry102","205","ppnm:LV28_15540 / ppnm:LV28_15545","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15540+ppnm:LV28_15545",NA,"rn:R04280",NA,639,751,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry114","232","ppnm:LV28_03325 / ppnm:LV28_11565 / ppnm:LV28_16505","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_03325+ppnm:LV28_11565+ppnm:LV28_16505",NA,"rn:R03026",NA,1120,827,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry121","241","ppnm:LV28_15540 / ppnm:LV28_15545","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15540+ppnm:LV28_15545",NA,"rn:R01632",NA,639,677,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry147","281","ppnm:LV28_15540 / ppnm:LV28_15545","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15540+ppnm:LV28_15545",NA,"rn:R09565",NA,639,844,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
"entry148","282","ppnm:LV28_15540 / ppnm:LV28_15545","gene","http://www.kegg.jp/dbget-bin/www_bget?ppnm:LV28_15540+ppnm:LV28_15545",NA,"rn:R09272",NA,639,797,"rectangle",46,17,"#000000","#BFFFBF",1,"00627"
