"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","77","nel:NELON_05130","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_05130",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry3","83","nel:NELON_06515","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_06515",NA,"rn:R00479",NA,1149,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","nel:NELON_05130","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_05130",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry12","95","nel:NELON_07215 / nel:NELON_08205","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_07215+nel:NELON_08205",NA,"rn:R00475",NA,759,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","nel:NELON_09525","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_09525",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry19","108","nel:NELON_11620","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_11620",NA,"rn:R01333",NA,537,519,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry26","116","nel:NELON_08230","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_08230",NA,"rn:R00472",NA,478,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","124","nel:NELON_09555","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_09555",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry45","140","nel:NELON_01775 / nel:NELON_07725","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_01775+nel:NELON_07725",NA,"rn:R01334",NA,598,603,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry46","141","nel:NELON_11255","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_11255",NA,"rn:R00717",NA,786,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry47","142","nel:NELON_11255","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_11255",NA,"rn:R01388",NA,302,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","nel:NELON_09740","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_09740",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry119","217","nel:NELON_03260 / nel:NELON_06435 / nel:NELON_09510 / nel:NELON_09960","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_03260+nel:NELON_06435+nel:NELON_09510+nel:NELON_09960",NA,"rn:R01221",NA,512,805,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry123","223","nel:NELON_02195","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_02195",NA,"rn:R00009",NA,761,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","nel:NELON_10145","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_10145",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry132","235","nel:NELON_03055","gene","http://www.kegg.jp/dbget-bin/www_bget?nel:NELON_03055",NA,"rn:R00470",NA,1021,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
