"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","77","ccq:N149_0775","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0775",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry8","88","ccq:N149_0734","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0734",NA,"rn:R00944",NA,1094,260,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","ccq:N149_0775","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0775",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry12","95","ccq:N149_1156","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1156",NA,"rn:R00475",NA,759,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry17","104","ccq:N149_1458 / ccq:N149_1459 / ccq:N149_1460","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1458+ccq:N149_1459+ccq:N149_1460",NA,"rn:R00519",NA,932,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","ccq:N149_1634","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1634",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","124","ccq:N149_0521","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0521",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry45","140","ccq:N149_1185 / ccq:N149_1425","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1185+ccq:N149_1425",NA,"rn:R01334",NA,598,603,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry46","141","ccq:N149_0370","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0370",NA,"rn:R00717",NA,786,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry47","142","ccq:N149_0370","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0370",NA,"rn:R01388",NA,302,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","ccq:N149_0399","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0399",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry123","223","ccq:N149_1350 / ccq:N149_1504","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1350+ccq:N149_1504",NA,"rn:R00009",NA,761,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","ccq:N149_0653","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_0653",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","252","ccq:N149_1481","gene","http://www.kegg.jp/dbget-bin/www_bget?ccq:N149_1481",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
