"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","76","gka:GK1528","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1528",NA,"rn:R01394",NA,382,519,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry1","77","gka:GK1347","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1347",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry3","83","gka:GK0676","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK0676",NA,"rn:R00479",NA,1149,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry6","86","gka:GK1391","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1391",NA,"rn:R00524",NA,1144,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry8","88","gka:GK1736","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1736",NA,"rn:R00944",NA,1094,260,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry9","89","gka:GK2335","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2335",NA,"rn:R01959",NA,1094,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","gka:GK1347","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1347",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry12","95","gka:GK1530 / gka:GK1531 / gka:GK1532 / gka:GK2013 / gka:GK2014","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1530+gka:GK1531+gka:GK1532+gka:GK2013+gka:GK2014",NA,"rn:R00475",NA,759,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry14","97","gka:GK2965","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2965",NA,"rn:R00717",NA,761,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry17","104","gka:GK0459","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK0459",NA,"rn:R00519",NA,932,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","gka:GK2736","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2736",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry23","113","gka:GK2965","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2965",NA,"rn:R01388",NA,302,588,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry26","116","gka:GK1533","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1533",NA,"rn:R00472",NA,478,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","124","gka:GK2734","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2734",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry97","194","gka:GK1658 / gka:GK3397","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1658+gka:GK3397",NA,"rn:R00238",NA,556,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry106","203","gka:GK2350","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2350",NA,"rn:R02765",NA,623,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry107","204","gka:GK2349","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2349",NA,"rn:R01859",NA,623,384,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry108","205","gka:GK2370 / gka:GK2371","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2370+gka:GK2371",NA,"rn:R00833",NA,623,268,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","gka:GK3369","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK3369",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry119","217","gka:GK1061 / gka:GK2379 / gka:GK2423 / gka:GK2424 / gka:GK2425 / gka:GK3004","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1061+gka:GK2379+gka:GK2423+gka:GK2424+gka:GK2425+gka:GK3004",NA,"rn:R01221",NA,512,805,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","gka:GK1327 / gka:GK1637","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1327+gka:GK1637",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry131","234","gka:GK2350","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2350",NA,"rn:R09979",NA,777,257,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry132","235","gka:GK1956","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK1956",NA,"rn:R00470",NA,1021,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry140","247","gka:GK3465","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK3465",NA,"rn:R08572",NA,162,632,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","252","gka:GK2759 / gka:GK2793 / gka:GK2806","gene","http://www.kegg.jp/dbget-bin/www_bget?gka:GK2759+gka:GK2793+gka:GK2806",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
