"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","77","sad:SAAV_1331","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1331",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","sad:SAAV_1331","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1331",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry17","104","sad:SAAV_2371","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_2371",NA,"rn:R00519",NA,932,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","sad:SAAV_1685","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1685",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry45","140","sad:SAAV_0518","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_0518",NA,"rn:R01334",NA,598,603,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry97","194","sad:SAAV_0322 / sad:SAAV_0538","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_0322+sad:SAAV_0538",NA,"rn:R00238",NA,556,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","sad:SAAV_2168","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_2168",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry119","217","sad:SAAV_1061 / sad:SAAV_1511 / sad:SAAV_1527 / sad:SAAV_1528 / sad:SAAV_1529","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1061+sad:SAAV_1511+sad:SAAV_1527+sad:SAAV_1528+sad:SAAV_1529",NA,"rn:R01221",NA,512,805,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry123","223","sad:SAAV_1314","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1314",NA,"rn:R00009",NA,761,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","sad:SAAV_1283","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1283",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry140","247","sad:SAAV_0704 / sad:SAAV_2498","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_0704+sad:SAAV_2498",NA,"rn:R08572",NA,162,632,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","252","sad:SAAV_1743 / sad:SAAV_2675","gene","http://www.kegg.jp/dbget-bin/www_bget?sad:SAAV_1743+sad:SAAV_2675",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
