"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","83","echi:FKX85_08990 / echi:FKX85_14705","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_08990+echi:FKX85_14705",NA,"rn:R01394",NA,382,519,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry1","84","echi:FKX85_12115 / echi:FKX85_18950","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_12115+echi:FKX85_18950",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry8","95","echi:FKX85_07355","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_07355",NA,"rn:R00944",NA,1094,260,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","98","echi:FKX85_12115 / echi:FKX85_18950","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_12115+echi:FKX85_18950",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry13","103","echi:FKX85_16105","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_16105",NA,"rn:R00465",NA,738,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","114","echi:FKX85_14435","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_14435",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry21","118","echi:FKX85_16105","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_16105",NA,"rn:R01388 rn:R01392",NA,350,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry22","119","echi:FKX85_16105","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_16105",NA,"rn:R01392",NA,350,588,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","131","echi:FKX85_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_09870",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry44","146","echi:FKX85_08115","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_08115",NA,"rn:R03140",NA,642,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry97","208","echi:FKX85_05710 / echi:FKX85_17450","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_05710+echi:FKX85_17450",NA,"rn:R00238",NA,556,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry106","217","echi:FKX85_00435","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_00435",NA,"rn:R02765",NA,623,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry107","218","echi:FKX85_00775","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_00775",NA,"rn:R01859",NA,623,384,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry108","219","echi:FKX85_21355 / echi:FKX85_21360","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_21355+echi:FKX85_21360",NA,"rn:R00833",NA,623,268,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","230","echi:FKX85_04450","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_04450",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry119","231","echi:FKX85_00445 / echi:FKX85_03360 / echi:FKX85_03480 / echi:FKX85_19155 / echi:FKX85_21025","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_00445+echi:FKX85_03360+echi:FKX85_03480+echi:FKX85_19155+echi:FKX85_21025",NA,"rn:R01221",NA,512,805,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry123","238","echi:FKX85_15440","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_15440",NA,"rn:R00009",NA,761,548,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","245","echi:FKX85_11135","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_11135",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry131","250","echi:FKX85_00435","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_00435",NA,"rn:R09979",NA,777,257,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry132","251","echi:FKX85_15225 / echi:FKX85_17750","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_15225+echi:FKX85_17750",NA,"rn:R00470",NA,1021,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry140","264","echi:FKX85_18900","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_18900",NA,"rn:R08572",NA,162,632,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","271","echi:FKX85_04030","gene","http://www.kegg.jp/dbget-bin/www_bget?echi:FKX85_04030",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
