"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","77","fll:EI427_13725","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_13725",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry3","83","fll:EI427_07815","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_07815",NA,"rn:R00479",NA,1149,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry8","88","fll:EI427_07320","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_07320",NA,"rn:R00944",NA,1094,260,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","fll:EI427_13725","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_13725",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","fll:EI427_07280","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_07280",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry19","108","fll:EI427_22295 / fll:EI427_25400","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_22295+fll:EI427_25400",NA,"rn:R01333",NA,537,519,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry26","116","fll:EI427_07810","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_07810",NA,"rn:R00472",NA,478,323,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","124","fll:EI427_07240 / fll:EI427_24900","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_07240+fll:EI427_24900",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry45","140","fll:EI427_08010","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_08010",NA,"rn:R01334",NA,598,603,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry46","141","fll:EI427_04820","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_04820",NA,"rn:R00717",NA,786,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry47","142","fll:EI427_04820","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_04820",NA,"rn:R01388",NA,302,609,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry97","194","fll:EI427_09640","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_09640",NA,"rn:R00238",NA,556,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry99","196","fll:EI427_08835","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_08835",NA,"rn:R03027",NA,729,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry106","203","fll:EI427_06015","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_06015",NA,"rn:R02765",NA,623,326,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry108","205","fll:EI427_06045 / fll:EI427_06050","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_06045+fll:EI427_06050",NA,"rn:R00833",NA,623,268,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","fll:EI427_19270","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_19270",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry119","217","fll:EI427_02710 / fll:EI427_07770 / fll:EI427_09120 / fll:EI427_19045 / fll:EI427_20025","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_02710+fll:EI427_07770+fll:EI427_09120+fll:EI427_19045+fll:EI427_20025",NA,"rn:R01221",NA,512,805,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","fll:EI427_02095 / fll:EI427_04380 / fll:EI427_09620","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_02095+fll:EI427_04380+fll:EI427_09620",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry131","234","fll:EI427_06015","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_06015",NA,"rn:R09979",NA,777,257,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry132","235","fll:EI427_11085 / fll:EI427_16805 / fll:EI427_21950 / fll:EI427_25365","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_11085+fll:EI427_16805+fll:EI427_21950+fll:EI427_25365",NA,"rn:R00470",NA,1021,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry140","247","fll:EI427_06765","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_06765",NA,"rn:R08572",NA,162,632,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","252","fll:EI427_09155","gene","http://www.kegg.jp/dbget-bin/www_bget?fll:EI427_09155",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
