"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","77","tne:Tneu_0614","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0614",NA,"rn:R01900",NA,1189,373,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry10","91","tne:Tneu_0614","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0614",NA,"rn:R01325",NA,988,145,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry12","95","tne:Tneu_0325 / tne:Tneu_1281","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0325+tne:Tneu_1281",NA,"rn:R00475",NA,759,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry17","104","tne:Tneu_0355 / tne:Tneu_1054 / tne:Tneu_1055 / tne:Tneu_1056 / tne:Tneu_1063","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0355+tne:Tneu_1054+tne:Tneu_1055+tne:Tneu_1056+tne:Tneu_1063",NA,"rn:R00519",NA,932,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry18","107","tne:Tneu_0713","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0713",NA,"rn:R00351",NA,556,144,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry30","124","tne:Tneu_1509","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_1509",NA,"rn:R00342",NA,478,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry45","140","tne:Tneu_0866","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0866",NA,"rn:R01334",NA,598,603,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry97","194","tne:Tneu_0249 / tne:Tneu_1358","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0249+tne:Tneu_1358",NA,"rn:R00238",NA,556,177,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry118","216","tne:Tneu_0045","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0045",NA,"rn:R00945",NA,705,824,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry128","230","tne:Tneu_0456","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_0456",NA,"rn:R00253",NA,782,704,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
"entry145","252","tne:Tneu_1843","gene","http://www.kegg.jp/dbget-bin/www_bget?tne:Tneu_1843",NA,"rn:R00235",NA,509,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00630"
