"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","13","pel:SAR11G3_00476","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00476",NA,"rn:R00705 rn:R00706",NA,159,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry3","15","pel:SAR11G3_00151 / pel:SAR11G3_00585 / pel:SAR11G3_00954 / pel:SAR11G3_00955","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00151+pel:SAR11G3_00585+pel:SAR11G3_00954+pel:SAR11G3_00955",NA,"rn:R00742",NA,159,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry4","16","pel:SAR11G3_00882","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00882",NA,"rn:R00233",NA,159,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry6","22","pel:SAR11G3_00289","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00289",NA,"rn:R00907",NA,276,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry19","56","pel:SAR11G3_00476","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00476",NA,"rn:R00935",NA,951,409,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry25","64","pel:SAR11G3_00892","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00892",NA,"rn:R00926",NA,1051,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry26","65","pel:SAR11G3_00892","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00892",NA,"rn:R01354",NA,1051,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry28","67","pel:SAR11G3_00377","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00377",NA,"rn:R00926",NA,1001,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry29","68","pel:SAR11G3_00377","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00377",NA,"rn:R01354",NA,1001,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry57","102","pel:SAR11G3_00821","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00821",NA,"rn:R04424",NA,1041,485,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry64","112","pel:SAR11G3_00478 / pel:SAR11G3_00479","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00478+pel:SAR11G3_00479",NA,"rn:R00405",NA,865,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry66","114","pel:SAR11G3_01276","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_01276",NA,"rn:R00409",NA,981,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry70","119","pel:SAR11G3_00889","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00889",NA,"rn:R00238",NA,87,340,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry115","184","pel:SAR11G3_00482","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00482",NA,"rn:R07618",NA,769,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry121","191","pel:SAR11G3_00839","gene","http://www.kegg.jp/dbget-bin/www_bget?pel:SAR11G3_00839",NA,"rn:R00919",NA,593,360,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
