"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","13","cfj:CFIO01_01945 / cfj:CFIO01_13242","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_01945+cfj:CFIO01_13242",NA,"rn:R00705 rn:R00706",NA,159,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry3","15","cfj:CFIO01_05902","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_05902",NA,"rn:R00742",NA,159,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry7","23","cfj:CFIO01_01941 / cfj:CFIO01_08549 / cfj:CFIO01_09240","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_01941+cfj:CFIO01_08549+cfj:CFIO01_09240",NA,"rn:R00908",NA,276,378,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry8","24","cfj:CFIO01_03841 / cfj:CFIO01_11654","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_03841+cfj:CFIO01_11654",NA,"rn:R01608",NA,276,328,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry14","31","cfj:CFIO01_02505","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_02505",NA,"rn:R03158",NA,377,327,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry19","56","cfj:CFIO01_01945 / cfj:CFIO01_13242","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_01945+cfj:CFIO01_13242",NA,"rn:R00935",NA,951,409,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry25","64","cfj:CFIO01_09479","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_09479",NA,"rn:R00926",NA,1051,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry26","65","cfj:CFIO01_09479","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_09479",NA,"rn:R01354",NA,1051,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry28","67","cfj:CFIO01_12880","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_12880",NA,"rn:R00926",NA,1001,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry29","68","cfj:CFIO01_12880","gene","http://www.kegg.jp/dbget-bin/www_bget?cfj:CFIO01_12880",NA,"rn:R01354",NA,1001,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
