"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","13","caqu:CAQU_10555","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_10555",NA,"rn:R00705 rn:R00706",NA,159,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry2","14","caqu:CAQU_03350 / caqu:CAQU_03355 / caqu:CAQU_03360","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_03350+caqu:CAQU_03355+caqu:CAQU_03360",NA,"rn:R00353",NA,159,228,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry3","15","caqu:CAQU_02660 / caqu:CAQU_03600","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_02660+caqu:CAQU_03600",NA,"rn:R00742",NA,159,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry16","53","caqu:CAQU_11285","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_11285",NA,"rn:R00921",NA,886,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry19","56","caqu:CAQU_10555","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_10555",NA,"rn:R00935",NA,951,409,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry20","59","caqu:CAQU_05260","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_05260",NA,"rn:R02765",NA,807,494,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry21","60","caqu:CAQU_02660 / caqu:CAQU_02735 / caqu:CAQU_02760","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_02660+caqu:CAQU_02735+caqu:CAQU_02760",NA,"rn:R01859",NA,721,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry22","61","caqu:CAQU_03350","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_03350",NA,"rn:R00930",NA,782,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry28","67","caqu:CAQU_10510","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_10510",NA,"rn:R00926",NA,1001,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry29","68","caqu:CAQU_10510","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_10510",NA,"rn:R01354",NA,1001,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry30","69","caqu:CAQU_11280","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_11280",NA,"rn:R01353",NA,968,95,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry34","73","caqu:CAQU_12235","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_12235",NA,"rn:R01000",NA,743,64,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry39","79","caqu:CAQU_03610 / caqu:CAQU_10485 / caqu:CAQU_10490","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_03610+caqu:CAQU_10485+caqu:CAQU_10490",NA,"rn:R03045",NA,468,317,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry59","104","caqu:CAQU_06500 / caqu:CAQU_06505","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_06500+caqu:CAQU_06505",NA,"rn:R00833",NA,807,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry70","119","caqu:CAQU_03655 / caqu:CAQU_10480","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_03655+caqu:CAQU_10480",NA,"rn:R00238",NA,87,340,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry115","184","caqu:CAQU_01065 / caqu:CAQU_02625","gene","http://www.kegg.jp/dbget-bin/www_bget?caqu:CAQU_01065+caqu:CAQU_02625",NA,"rn:R07618",NA,769,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
