"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","15","hyz:AXW84_10175 / hyz:AXW84_10180 / hyz:AXW84_11130","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_10175+hyz:AXW84_10180+hyz:AXW84_11130",NA,"rn:R00742",NA,159,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry20","59","hyz:AXW84_13610","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_13610",NA,"rn:R02765",NA,807,494,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry21","60","hyz:AXW84_05150","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_05150",NA,"rn:R01859",NA,721,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry25","64","hyz:AXW84_08880","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_08880",NA,"rn:R00926",NA,1051,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry26","65","hyz:AXW84_08880","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_08880",NA,"rn:R01354",NA,1051,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry28","67","hyz:AXW84_08885 / hyz:AXW84_09260","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_08885+hyz:AXW84_09260",NA,"rn:R00926",NA,1001,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry29","68","hyz:AXW84_08885 / hyz:AXW84_09260","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_08885+hyz:AXW84_09260",NA,"rn:R01354",NA,1001,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry30","69","hyz:AXW84_11610","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_11610",NA,"rn:R01353",NA,968,95,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry39","79","hyz:AXW84_08560","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_08560",NA,"rn:R03045",NA,468,317,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry59","104","hyz:AXW84_16250 / hyz:AXW84_16260","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_16250+hyz:AXW84_16260",NA,"rn:R00833",NA,807,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry64","112","hyz:AXW84_03625 / hyz:AXW84_06545","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_03625+hyz:AXW84_06545",NA,"rn:R00405",NA,865,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry70","119","hyz:AXW84_07975","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_07975",NA,"rn:R00238",NA,87,340,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry115","184","hyz:AXW84_01595 / hyz:AXW84_05650","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_01595+hyz:AXW84_05650",NA,"rn:R07618",NA,769,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry116","185","hyz:AXW84_01415 / hyz:AXW84_09685","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_01415+hyz:AXW84_09685",NA,"rn:R10997",NA,806,209,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry117","186","hyz:AXW84_01415 / hyz:AXW84_09685","gene","http://www.kegg.jp/dbget-bin/www_bget?hyz:AXW84_01415+hyz:AXW84_09685",NA,"rn:R10996",NA,806,138,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
