"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","13","ypk:y1146","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y1146",NA,"rn:R00705 rn:R00706",NA,159,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry3","15","ypk:y0208 / ypk:y0209 / ypk:y1601 / ypk:y3119","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0208+ypk:y0209+ypk:y1601+ypk:y3119",NA,"rn:R00742",NA,159,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry7","23","ypk:y1390","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y1390",NA,"rn:R00908",NA,276,378,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry16","53","ypk:y1620","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y1620",NA,"rn:R00921",NA,886,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry17","54","ypk:y2790","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y2790",NA,"rn:R06987",NA,666,195,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry19","56","ypk:y1146","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y1146",NA,"rn:R00935",NA,951,409,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry28","67","ypk:y0510","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0510",NA,"rn:R00926",NA,1001,229,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry29","68","ypk:y0510","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0510",NA,"rn:R01354",NA,1001,143,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry30","69","ypk:y1622","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y1622",NA,"rn:R01353",NA,968,95,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry39","79","ypk:y0464 / ypk:y1580","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0464+ypk:y1580",NA,"rn:R03045",NA,468,317,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry63","111","ypk:y0771","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0771",NA,"rn:R04425",NA,1041,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry64","112","ypk:y3064 / ypk:y3065","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y3064+ypk:y3065",NA,"rn:R00405",NA,865,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry95","155","ypk:y2729","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y2729",NA,"rn:R01016",NA,340,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry106","168","ypk:y3499","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y3499",NA,"rn:R02528",NA,421,521,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry115","184","ypk:y0318 / ypk:y0769","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0318+ypk:y0769",NA,"rn:R07618",NA,769,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
"entry121","191","ypk:y0204","gene","http://www.kegg.jp/dbget-bin/www_bget?ypk:y0204",NA,"rn:R00919",NA,593,360,"rectangle",46,17,"#000000","#BFFFBF",1,"00640"
