"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","58","bmk:DM80_2759 / bmk:DM80_4525","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_2759+bmk:DM80_4525",NA,"rn:R01361",NA,350,573,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry2","59","bmk:DM80_844","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_844",NA,"rn:R00048",NA,350,511,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry3","60","bmk:DM80_188 / bmk:DM80_189","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_188+bmk:DM80_189",NA,"rn:R00410",NA,504,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry4","61","bmk:DM80_3940","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_3940",NA,"rn:R01357",NA,509,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry5","62","bmk:DM80_1428 / bmk:DM80_1964 / bmk:DM80_3310","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_1428+bmk:DM80_1964+bmk:DM80_3310",NA,"rn:R01360",NA,830,675,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry7","64","bmk:DM80_1133 / bmk:DM80_2161 / bmk:DM80_3122 / bmk:DM80_3237 / bmk:DM80_5561 / bmk:DM80_5580","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_1133+bmk:DM80_2161+bmk:DM80_3122+bmk:DM80_3237+bmk:DM80_5561+bmk:DM80_5580",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry8","65","bmk:DM80_4241 / bmk:DM80_5440 / bmk:DM80_5581","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_4241+bmk:DM80_5440+bmk:DM80_5581",NA,"rn:R01976",NA,690,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry9","66","bmk:DM80_2038 / bmk:DM80_2195 / bmk:DM80_3120","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_2038+bmk:DM80_2195+bmk:DM80_3120",NA,"rn:R01975",NA,640,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry10","67","bmk:DM80_2162 / bmk:DM80_3238 / bmk:DM80_6204 / bmk:DM80_6342","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_2162+bmk:DM80_3238+bmk:DM80_6204+bmk:DM80_6342",NA,"rn:R01977",NA,559,533,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry12","69","bmk:DM80_3236 / bmk:DM80_6341","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_3236+bmk:DM80_6341",NA,"rn:R04254",NA,506,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry13","70","bmk:DM80_2636","gene","http://www.kegg.jp/dbget-bin/www_bget?bmk:DM80_2636",NA,"rn:R05118",NA,401,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
