"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","64","sscz:RN70_11105","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_11105",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry8","65","sscz:RN70_00480","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_00480",NA,"rn:R01976",NA,690,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry9","66","sscz:RN70_01590","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01590",NA,"rn:R01975",NA,640,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry21","78","sscz:RN70_02400","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_02400",NA,"rn:R00212",NA,999,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry23","80","sscz:RN70_06370","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_06370",NA,"rn:R01174",NA,777,300,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry24","82","sscz:RN70_01040","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01040",NA,"rn:R01172",NA,604,318,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry27","85","sscz:RN70_01950","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01950",NA,"rn:R00713 rn:R00714",NA,299,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry30","88","sscz:RN70_06375","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_06375",NA,"rn:R01688",NA,722,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry33","92","sscz:RN70_08500 / sscz:RN70_08505 / sscz:RN70_08510","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_08500+sscz:RN70_08505+sscz:RN70_08510",NA,"rn:R02164",NA,384,214,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry34","93","sscz:RN70_01740 / sscz:RN70_11215","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01740+sscz:RN70_11215",NA,"rn:R02948",NA,824,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry35","95","sscz:RN70_01255","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01255",NA,"rn:R02946",NA,706,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry48","110","sscz:RN70_01255","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01255",NA,"rn:R02855",NA,824,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry92","162","sscz:RN70_04110 / sscz:RN70_04115 / sscz:RN70_11210","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_04110+sscz:RN70_04115+sscz:RN70_11210",NA,"rn:R00226",NA,942,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry96","168","sscz:RN70_01950","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01950",NA,"rn:R00714",NA,273,300,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry101","177","sscz:RN70_01255","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_01255",NA,"rn:R10504",NA,706,87,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry104","182","sscz:RN70_08500 / sscz:RN70_08505 / sscz:RN70_08510","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_08500+sscz:RN70_08505+sscz:RN70_08510",NA,"rn:R02164",NA,384,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry105","183","sscz:RN70_07775 / sscz:RN70_07780","gene","http://www.kegg.jp/dbget-bin/www_bget?sscz:RN70_07775+sscz:RN70_07780",NA,"rn:R01196",NA,1084,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
