"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","64","cax:CATYP_00385","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_00385",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry18","75","cax:CATYP_07025","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_07025",NA,"rn:R01648",NA,249,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry21","78","cax:CATYP_05400 / cax:CATYP_05405","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_05400+cax:CATYP_05405",NA,"rn:R00212",NA,999,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry27","85","cax:CATYP_00230 / cax:CATYP_02980 / cax:CATYP_07045","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_00230+cax:CATYP_02980+cax:CATYP_07045",NA,"rn:R00713 rn:R00714",NA,299,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry33","92","cax:CATYP_01505 / cax:CATYP_01510 / cax:CATYP_01515","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_01505+cax:CATYP_01510+cax:CATYP_01515",NA,"rn:R02164",NA,384,214,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry34","93","cax:CATYP_06805","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_06805",NA,"rn:R02948",NA,824,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry92","162","cax:CATYP_06130","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_06130",NA,"rn:R00226",NA,942,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry95","167","cax:CATYP_08725","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_08725",NA,"rn:R10343",NA,200,290,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry96","168","cax:CATYP_00230 / cax:CATYP_02980 / cax:CATYP_07045","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_00230+cax:CATYP_02980+cax:CATYP_07045",NA,"rn:R00714",NA,273,300,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry104","182","cax:CATYP_01505 / cax:CATYP_01510 / cax:CATYP_01515","gene","http://www.kegg.jp/dbget-bin/www_bget?cax:CATYP_01505+cax:CATYP_01510+cax:CATYP_01515",NA,"rn:R02164",NA,384,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
