"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","58","nml:Namu_3917","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_3917",NA,"rn:R01361",NA,350,573,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry4","61","nml:Namu_0304 / nml:Namu_2019","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_0304+nml:Namu_2019",NA,"rn:R01357",NA,509,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry5","62","nml:Namu_0348 / nml:Namu_4266","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_0348+nml:Namu_4266",NA,"rn:R01360",NA,830,675,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry7","64","nml:Namu_2198 / nml:Namu_4654","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_2198+nml:Namu_4654",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry8","65","nml:Namu_0872 / nml:Namu_2482","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_0872+nml:Namu_2482",NA,"rn:R01976",NA,690,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry12","69","nml:Namu_4720 / nml:Namu_4877","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_4720+nml:Namu_4877",NA,"rn:R04254",NA,506,480,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry14","71","nml:Namu_0803","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_0803",NA,"rn:R03026",NA,666,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry18","75","nml:Namu_4960","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_4960",NA,"rn:R01648",NA,249,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry19","76","nml:Namu_5339","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_5339",NA,"rn:R00261",NA,148,401,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry21","78","nml:Namu_3208","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_3208",NA,"rn:R00212",NA,999,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry24","82","nml:Namu_3211 / nml:Namu_4082","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_3211+nml:Namu_4082",NA,"rn:R01172",NA,604,318,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry27","85","nml:Namu_2921 / nml:Namu_4961","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_2921+nml:Namu_4961",NA,"rn:R00713 rn:R00714",NA,299,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry33","92","nml:Namu_1308 / nml:Namu_1309 / nml:Namu_1310 / nml:Namu_1311 / nml:Namu_4026 / nml:Namu_4027","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_1308+nml:Namu_1309+nml:Namu_1310+nml:Namu_1311+nml:Namu_4026+nml:Namu_4027",NA,"rn:R02164",NA,384,214,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry35","95","nml:Namu_1092","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_1092",NA,"rn:R02946",NA,706,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry36","96","nml:Namu_1091","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_1091",NA,"rn:R03707",NA,706,62,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry48","110","nml:Namu_1092","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_1092",NA,"rn:R02855",NA,824,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry87","155","nml:Namu_1091","gene","http://www.kegg.jp/dbget-bin/www_bget?nml:Namu_1091",NA,"rn:R09078",NA,823,62,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
