"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","64","ccon:AFK62_16080","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_16080",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry9","66","ccon:AFK62_01565 / ccon:AFK62_13670","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01565+ccon:AFK62_13670",NA,"rn:R01975",NA,640,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry11","68","ccon:AFK62_01565 / ccon:AFK62_13670","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01565+ccon:AFK62_13670",NA,"rn:R03276",NA,613,479,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry14","71","ccon:AFK62_01565 / ccon:AFK62_13670","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01565+ccon:AFK62_13670",NA,"rn:R03026",NA,666,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry17","74","ccon:AFK62_19810","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_19810",NA,"rn:R01644",NA,343,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry18","75","ccon:AFK62_12450 / ccon:AFK62_18885","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_12450+ccon:AFK62_18885",NA,"rn:R01648",NA,249,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry20","77","ccon:AFK62_10250","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_10250",NA,"rn:R01196",NA,1034,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry21","78","ccon:AFK62_06975 / ccon:AFK62_10545","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_06975+ccon:AFK62_10545",NA,"rn:R00212",NA,999,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry24","82","ccon:AFK62_10755","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_10755",NA,"rn:R01172",NA,604,318,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry26","84","ccon:AFK62_09750","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_09750",NA,"rn:R00713",NA,323,300,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry27","85","ccon:AFK62_01985 / ccon:AFK62_09750","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01985+ccon:AFK62_09750",NA,"rn:R00713 rn:R00714",NA,299,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry33","92","ccon:AFK62_06120 / ccon:AFK62_06125 / ccon:AFK62_06130 / ccon:AFK62_06135","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_06120+ccon:AFK62_06125+ccon:AFK62_06130+ccon:AFK62_06135",NA,"rn:R02164",NA,384,214,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry34","93","ccon:AFK62_14180","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_14180",NA,"rn:R02948",NA,824,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry36","96","ccon:AFK62_09520 / ccon:AFK62_14170","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_09520+ccon:AFK62_14170",NA,"rn:R03707",NA,706,62,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry87","155","ccon:AFK62_09520 / ccon:AFK62_14170","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_09520+ccon:AFK62_14170",NA,"rn:R09078",NA,823,62,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry92","162","ccon:AFK62_01205 / ccon:AFK62_01210 / ccon:AFK62_03605 / ccon:AFK62_03610 / ccon:AFK62_14175","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01205+ccon:AFK62_01210+ccon:AFK62_03605+ccon:AFK62_03610+ccon:AFK62_14175",NA,"rn:R00226",NA,942,142,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry96","168","ccon:AFK62_01985","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_01985",NA,"rn:R00714",NA,273,300,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry100","175","ccon:AFK62_09520 / ccon:AFK62_14170","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_09520+ccon:AFK62_14170",NA,"rn:R10505",NA,706,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry104","182","ccon:AFK62_06120 / ccon:AFK62_06125 / ccon:AFK62_06130 / ccon:AFK62_06135 / ccon:AFK62_17565 / ccon:AFK62_17570 / ccon:AFK62_17575 / ccon:AFK62_17580","gene","http://www.kegg.jp/dbget-bin/www_bget?ccon:AFK62_06120+ccon:AFK62_06125+ccon:AFK62_06130+ccon:AFK62_06135+ccon:AFK62_17565+ccon:AFK62_17570+ccon:AFK62_17575+ccon:AFK62_17580",NA,"rn:R02164",NA,384,235,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
