"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","58","kpm:KPHS_30370","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_30370",NA,"rn:R01361",NA,350,573,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry3","60","kpm:KPHS_30310 / kpm:KPHS_30320","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_30310+kpm:KPHS_30320",NA,"rn:R00410",NA,504,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry7","64","kpm:KPHS_26340 / kpm:KPHS_30330 / kpm:KPHS_30340 / kpm:KPHS_43350","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_26340+kpm:KPHS_30330+kpm:KPHS_30340+kpm:KPHS_43350",NA,"rn:R00238",NA,830,589,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry8","65","kpm:KPHS_23760 / kpm:KPHS_30350","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_23760+kpm:KPHS_30350",NA,"rn:R01976",NA,690,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry9","66","kpm:KPHS_01860 / kpm:KPHS_37920","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_01860+kpm:KPHS_37920",NA,"rn:R01975",NA,640,532,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry11","68","kpm:KPHS_01860 / kpm:KPHS_37920","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_01860+kpm:KPHS_37920",NA,"rn:R03276",NA,613,479,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry14","71","kpm:KPHS_01860 / kpm:KPHS_23740 / kpm:KPHS_37920","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_01860+kpm:KPHS_23740+kpm:KPHS_37920",NA,"rn:R03026",NA,666,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry18","75","kpm:KPHS_09810 / kpm:KPHS_49790","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_09810+kpm:KPHS_49790",NA,"rn:R01648",NA,249,390,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry20","77","kpm:KPHS_23530","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_23530",NA,"rn:R01196",NA,1034,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
"entry21","78","kpm:KPHS_16910 / kpm:KPHS_18110 / kpm:KPHS_32980 / kpm:KPHS_32990","gene","http://www.kegg.jp/dbget-bin/www_bget?kpm:KPHS_16910+kpm:KPHS_18110+kpm:KPHS_32980+kpm:KPHS_32990",NA,"rn:R00212",NA,999,365,"rectangle",46,17,"#000000","#BFFFBF",1,"00650"
