"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","20","hor:Hore_22100","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_22100",NA,"rn:R04326",NA,333,411,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry10","28","hor:Hore_06480","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_06480",NA,"rn:R01655",NA,424,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry11","29","hor:Hore_06480","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_06480",NA,"rn:R01220",NA,554,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry18","41","hor:Hore_12040","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_12040",NA,"rn:R02301",NA,534,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry19","42","hor:Hore_23440","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_23440",NA,"rn:R02300",NA,490,260,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry20","46","hor:Hore_09900","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_09900",NA,"rn:R03940",NA,284,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry23","49","hor:Hore_00600","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_00600",NA,"rn:R00943",NA,283,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry24","50","hor:Hore_22100","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_22100",NA,"rn:R04325",NA,283,258,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry25","51","hor:Hore_22090","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_22090",NA,"rn:R04560",NA,283,238,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry27","54","hor:Hore_15360 / hor:Hore_19590","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_15360+hor:Hore_19590",NA,"rn:R00946",NA,397,477,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry28","60","hor:Hore_00980","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_00980",NA,"rn:R06613",NA,398,106,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry29","61","hor:Hore_16130","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_16130",NA,"rn:R00945",NA,398,191,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
"entry30","64","hor:Hore_23440","gene","http://www.kegg.jp/dbget-bin/www_bget?hor:Hore_23440",NA,"rn:R04125",NA,398,127,"rectangle",46,17,"#000000","#BFFFBF",1,"00670"
