"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","38","bgp:BGL_1c20800 / bgp:BGL_2c07610","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c20800+bgp:BGL_2c07610",NA,"rn:R00604",NA,164,549,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry11","40","bgp:BGL_1c08910 / bgp:BGL_1c08920 / bgp:BGL_1c08930 / bgp:BGL_1c08940 / bgp:BGL_2c17780 / bgp:BGL_2c17790 / bgp:BGL_2c17800","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c08910+bgp:BGL_1c08920+bgp:BGL_1c08930+bgp:BGL_1c08940+bgp:BGL_2c17780+bgp:BGL_2c17790+bgp:BGL_2c17800",NA,"rn:R00519",NA,269,631,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry35","75","bgp:BGL_1c25050 / bgp:BGL_1c25060 / bgp:BGL_2c01450","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c25050+bgp:BGL_1c25060+bgp:BGL_2c01450",NA,"rn:R02560",NA,312,340,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry53","102","bgp:BGL_1c31010","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c31010",NA,"rn:R00527",NA,135,608,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry54","103","bgp:BGL_1c31020 / bgp:BGL_2c12510","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c31020+bgp:BGL_2c12510",NA,"rn:R06983",NA,135,522,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry72","127","bgp:BGL_1c06720 / bgp:BGL_2c03770","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c06720+bgp:BGL_2c03770",NA,"rn:R09099",NA,659,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry77","139","bgp:BGL_1c24440","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c24440",NA,"rn:R00199",NA,1084,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","142","bgp:BGL_1c26070","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c26070",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry81","145","bgp:BGL_1c33550","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c33550",NA,"rn:R01518",NA,1143,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","148","bgp:BGL_1c01070 / bgp:BGL_1c36030 / bgp:BGL_2c15040","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c01070+bgp:BGL_1c36030+bgp:BGL_2c15040",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry86","151","bgp:BGL_1c09100 / bgp:BGL_2c03110 / bgp:BGL_2c04470","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c09100+bgp:BGL_2c03110+bgp:BGL_2c04470",NA,"rn:R04173",NA,1023,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","153","bgp:BGL_1c21740","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c21740",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry89","161","bgp:BGL_1c29450","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c29450",NA,"rn:R00345",NA,1118,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry90","162","bgp:BGL_1c12820","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c12820",NA,"rn:R00588",NA,872,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry93","165","bgp:BGL_2c16890","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_2c16890",NA,"rn:R00473",NA,820,574,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry95","167","bgp:BGL_2c18220","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_2c18220",NA,"rn:R00342",NA,1002,600,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","181","bgp:BGL_1c08770","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c08770",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","194","bgp:BGL_1c31200","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c31200",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry116","196","bgp:BGL_1c07050","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c07050",NA,"rn:R01011",NA,978,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry118","198","bgp:BGL_1c06720 / bgp:BGL_2c03770","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c06720+bgp:BGL_2c03770",NA,"rn:R00945",NA,906,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry123","206","bgp:BGL_1c13110 / bgp:BGL_1c27120 / bgp:BGL_2c08010","gene","http://www.kegg.jp/dbget-bin/www_bget?bgp:BGL_1c13110+bgp:BGL_1c27120+bgp:BGL_2c08010",NA,"rn:R00235",NA,662,719,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
