"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3","36","mtw:CQW49_01215 / mtw:CQW49_01220 / mtw:CQW49_01225 / mtw:CQW49_10250 / mtw:CQW49_10255 / mtw:CQW49_10260 / mtw:CQW49_19210","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_01215+mtw:CQW49_01220+mtw:CQW49_01225+mtw:CQW49_10250+mtw:CQW49_10255+mtw:CQW49_10260+mtw:CQW49_19210",NA,"rn:R09518",NA,189,140,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry7","41","mtw:CQW49_14425 / mtw:CQW49_14430 / mtw:CQW49_14435 / mtw:CQW49_14440 / mtw:CQW49_14460 / mtw:CQW49_14465 / mtw:CQW49_14470 / mtw:CQW49_14475 / mtw:CQW49_14480","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_14425+mtw:CQW49_14430+mtw:CQW49_14435+mtw:CQW49_14440+mtw:CQW49_14460+mtw:CQW49_14465+mtw:CQW49_14470+mtw:CQW49_14475+mtw:CQW49_14480",NA,"rn:R01146",NA,164,255,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry11","46","mtw:CQW49_16125 / mtw:CQW49_16615 / mtw:CQW49_16625 / mtw:CQW49_16630 / mtw:CQW49_16635","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_16125+mtw:CQW49_16615+mtw:CQW49_16625+mtw:CQW49_16630+mtw:CQW49_16635",NA,"rn:R00519",NA,269,631,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry18","60","mtw:CQW49_13495","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_13495",NA,"rn:R03464",NA,360,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry20","62","mtw:CQW49_03835","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_03835",NA,"rn:R03390",NA,254,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry21","63","mtw:CQW49_03825 / mtw:CQW49_03830 / mtw:CQW49_03840","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_03825+mtw:CQW49_03830+mtw:CQW49_03840",NA,"rn:R08060",NA,192,608,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry24","67","mtw:CQW49_03825 / mtw:CQW49_03830 / mtw:CQW49_03840","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_03825+mtw:CQW49_03830+mtw:CQW49_03840",NA,"rn:R03015",NA,246,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry62","126","mtw:CQW49_12210 / mtw:CQW49_13850","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12210+mtw:CQW49_13850",NA,"rn:R08059",NA,479,454,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry71","139","mtw:CQW49_13475 / mtw:CQW49_13480","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_13475+mtw:CQW49_13480",NA,"rn:R08058",NA,545,428,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry72","140","mtw:CQW49_06365","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_06365",NA,"rn:R09099",NA,659,457,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry77","152","mtw:CQW49_02415","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_02415",NA,"rn:R00199",NA,1084,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry79","155","mtw:CQW49_08625","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_08625",NA,"rn:R00658",NA,1168,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry81","158","mtw:CQW49_21215","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_21215",NA,"rn:R01518",NA,1143,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry84","161","mtw:CQW49_10845","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_10845",NA,"rn:R01513",NA,1124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry86","164","mtw:CQW49_10840","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_10840",NA,"rn:R04173",NA,1023,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry87","166","mtw:CQW49_18580","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_18580",NA,"rn:R00582",NA,930,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry89","174","mtw:CQW49_05095 / mtw:CQW49_12230","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_05095+mtw:CQW49_12230",NA,"rn:R00345",NA,1118,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry90","175","mtw:CQW49_12200","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12200",NA,"rn:R00588",NA,872,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry91","176","mtw:CQW49_12205","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12205",NA,"rn:R01388",NA,992,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry92","177","mtw:CQW49_12220 / mtw:CQW49_12225","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12220+mtw:CQW49_12225",NA,"rn:R01256",NA,883,600,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry93","178","mtw:CQW49_12235 / mtw:CQW49_16215","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12235+mtw:CQW49_16215",NA,"rn:R00473",NA,820,574,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry94","179","mtw:CQW49_12245","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_12245",NA,"rn:R08572",NA,1105,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry95","180","mtw:CQW49_18955","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_18955",NA,"rn:R00342",NA,1002,600,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry105","197","mtw:CQW49_20760","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_20760",NA,"rn:R00762",NA,1221,244,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry106","198","mtw:CQW49_16115","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_16115",NA,"rn:R00756",NA,1143,223,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry114","210","mtw:CQW49_18395","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_18395",NA,"rn:R01068",NA,1112,280,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry118","214","mtw:CQW49_06365","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_06365",NA,"rn:R00945",NA,906,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry120","219","mtw:CQW49_15765","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_15765",NA,"rn:R00315",NA,594,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry121","220","mtw:CQW49_15770","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_15770",NA,"rn:R00230",NA,732,684,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
"entry185","321","mtw:CQW49_16905","gene","http://www.kegg.jp/dbget-bin/www_bget?mtw:CQW49_16905",NA,"rn:R01518",NA,1193,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00680"
